home,homeXg,score,awayXg,away
Liverpool,1.9,4–1,1.0,Norwich City
West Ham,0.7,0–5,3.3,Manchester City
Watford,0.9,0–3,0.7,Brighton
Burnley,0.7,3–0,0.8,Southampton
Bournemouth,1.0,1–1,1.0,Sheffield Utd
Crystal Palace,0.8,0–0,0.9,Everton
Tottenham,2.6,3–1,0.6,Aston Villa
Newcastle Utd,0.5,0–1,0.9,Arsenal
Leicester City,0.6,0–0,0.6,Wolves
Manchester Utd,2.1,4–0,0.8,Chelsea
,,,,
Arsenal,1.0,2–1,1.3,Burnley
Everton,0.9,1–0,1.2,Watford
Southampton,1.6,1–2,1.5,Liverpool
Norwich City,1.6,3–1,0.6,Newcastle Utd
Aston Villa,1.8,1–2,1.3,Bournemouth
Brighton,1.7,1–1,0.8,West Ham
Manchester City,3.0,2–2,0.2,Tottenham
Sheffield Utd,1.6,1–0,0.3,Crystal Palace
Chelsea,1.3,1–1,0.7,Leicester City
Wolves,0.3,1–1,1.3,Manchester Utd
,,,,
Aston Villa,0.9,2–0,1.0,Everton
Norwich City,1.0,2–3,1.9,Chelsea
Brighton,1.0,0–2,1.6,Southampton
Manchester Utd,2.2,1–2,0.8,Crystal Palace
Sheffield Utd,0.8,1–2,0.8,Leicester City
Watford,2.5,1–3,3.3,West Ham
Liverpool,2.3,3–1,1.0,Arsenal
Bournemouth,1.5,1–3,2.4,Manchester City
Wolves,1.5,1–1,1.1,Burnley
Tottenham,1.1,0–1,0.4,Newcastle Utd
,,,,
Southampton,0.8,1–1,1.7,Manchester Utd
West Ham,1.8,2–0,1.3,Norwich City
Manchester City,1.9,4–0,0.5,Brighton
Leicester City,1.9,3–1,0.8,Bournemouth
Newcastle Utd,1.0,1–1,1.3,Watford
Crystal Palace,1.4,1–0,0.3,Aston Villa
Chelsea,1.7,2–2,0.9,Sheffield Utd
Burnley,0.5,0–3,1.0,Liverpool
Everton,1.3,3–2,1.3,Wolves
Arsenal,2.6,2–2,2.0,Tottenham
,,,,
Liverpool,2.7,3–1,0.4,Newcastle Utd
Sheffield Utd,1.8,0–1,1.2,Southampton
Manchester Utd,1.1,1–0,0.4,Leicester City
Brighton,0.9,1–1,0.6,Burnley
Wolves,1.6,2–5,1.8,Chelsea
Tottenham,0.9,4–0,0.7,Crystal Palace
Norwich City,1.7,3–2,2.3,Manchester City
Bournemouth,1.5,3–1,1.4,Everton
Watford,2.6,2–2,1.0,Arsenal
