Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,0,0,0,8,11,0,11,1,9,0,0,0,22,7,15,31.8,/en/players/c5942695/matchlogs/2017-2018/misc/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,3,0,0,11,8,3,32,9,15,0,0,0,106,5,4,55.6,/en/players/1c529186/matchlogs/2017-2018/misc/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,4,0,0,29,31,0,11,91,34,0,1,1,520,103,32,76.3,/en/players/b96b595c/matchlogs/2017-2018/misc/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,4,2,1,13,14,0,12,19,7,0,0,0,105,12,13,48.0,/en/players/d7403bd5/matchlogs/2017-2018/misc/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,5,1,0,22,19,2,30,25,19,0,0,0,134,15,11,57.7,/en/players/ce5b170a/matchlogs/2017-2018/misc/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,4,0,0,20,22,1,86,42,23,0,0,1,174,49,32,60.5,/en/players/06050480/matchlogs/2017-2018/misc/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,7,0,0,19,6,0,2,32,24,0,1,0,147,23,24,48.9,/en/players/f9714604/matchlogs/2017-2018/misc/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,5,0,0,20,36,3,220,18,28,1,0,0,205,10,29,25.6,/en/players/5294a83f/matchlogs/2017-2018/misc/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,7,0,0,30,19,2,4,36,25,0,0,0,455,73,51,58.9,/en/players/4bd414c1/matchlogs/2017-2018/misc/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,1,0,0,0,3,0,0,2,0,0,0,0,230,0,0,,/en/players/7a2e46a8/matchlogs/2017-2018/misc/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,2,0,0,38,48,0,30,31,80,0,0,0,296,9,32,22.0,/en/players/cc700722/matchlogs/2017-2018/misc/Allan-Match-Logs
