Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,11,517,47,15.1,5.7,6,,5,,4,0.55,2,12,-10,-1.74,-0.56,2.9,11.7,-8.9,-1.54,-0.56,/en/players/c5942695/matchlogs/2017-2018/summary/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,17,"1,057",62,30.9,11.7,11,,6,,15,1.71,17,10,+7,+0.60,+0.33,14.3,11.0,+3.4,+0.29,+0.33,/en/players/1c529186/matchlogs/2017-2018/summary/Ignazio-Abate-Match-Logs
3,Nura Abdullahi,ng,DF,Roma,19,1997,0,,,,,0,,0,,5,,,,,,,,,,,,/en/players/d24769d8/matchlogs/2017-2018/summary/Nura-Abdullahi-Match-Logs
4,Francesco Acerbi,it,DF,Sassuolo,29,1988,38,"3,420",90,100.0,38.0,38,,0,,0,1.13,29,59,-30,-0.79,,49.6,49.6,0.0,0.00,,/en/players/b96b595c/matchlogs/2017-2018/summary/Francesco-Acerbi-Match-Logs
5,Afriyie Acquah,gh,MF,Torino,25,1992,22,951,43,27.8,10.6,9,,13,,11,1.64,13,17,-4,-0.38,-0.82,9.7,17.3,-7.6,-0.73,-0.82,/en/players/d7403bd5/matchlogs/2017-2018/summary/Afriyie-Acquah-Match-Logs
6,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,16,"1,220",76,35.7,13.6,14,,2,,8,1.31,13,22,-9,-0.66,+0.20,17.2,16.9,+0.3,+0.03,+0.20,/en/players/ce5b170a/matchlogs/2017-2018/summary/Claud-Adjapong-Match-Logs
7,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,23,"1,674",73,48.9,18.6,18,,5,,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.3,-3.0,-0.16,+0.67,/en/players/06050480/matchlogs/2017-2018/summary/Ali-Adnan-Kadhim-Match-Logs
8,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,21,"1,271",61,37.2,14.1,15,,6,,15,0.95,12,28,-16,-1.13,-0.71,14.0,26.9,-12.9,-0.92,-0.71,/en/players/f9714604/matchlogs/2017-2018/summary/Arlind-Ajeti-Match-Logs
9,Luis Alberto,es,"MF,FW",Lazio,24,1992,34,"2,669",79,78.0,29.7,32,,2,,1,1.91,73,41,+32,+1.08,+0.12,50.5,34.3,+16.2,+0.55,+0.12,/en/players/5294a83f/matchlogs/2017-2018/summary/Luis-Alberto-Match-Logs
10,Raúl Albiol,es,DF,Napoli,31,1985,31,"2,742",88,80.2,30.5,30,,1,,5,2.26,58,21,+37,+1.21,-0.25,53.6,20.0,+33.6,+1.10,-0.25,/en/players/4bd414c1/matchlogs/2017-2018/summary/Raul-Albiol-Match-Logs
11,Alisson,br,GK,Roma,24,1992,37,"3,330",90,97.4,37.0,37,,0,,0,2.00,60,28,+32,+0.86,-0.14,68.3,39.0,+29.3,+0.79,-0.14,/en/players/7a2e46a8/matchlogs/2017-2018/summary/Alisson-Match-Logs
12,Allan,br,MF,Napoli,26,1991,38,"2,850",75,83.3,31.7,32,,6,,0,2.39,62,21,+41,+1.29,+0.19,56.9,20.3,+36.6,+1.15,+0.19,/en/players/cc700722/matchlogs/2017-2018/summary/Allan-Match-Logs
13,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,12,267,22,7.8,3.0,2,,10,,21,1.83,4,5,-1,-0.34,-0.25,4.6,3.8,+0.7,+0.26,-0.25,/en/players/92a5ac34/matchlogs/2017-2018/summary/Ricky-Alvarez-Match-Logs
14,Joachim Andersen,dk,DF,Sampdoria,21,1996,7,546,78,16.0,6.1,6,,1,,25,1.29,7,13,-6,-0.99,-1.05,6.7,9.6,-2.9,-0.48,-1.05,/en/players/e34fc66d/matchlogs/2017-2018/summary/Joachim-Andersen-Match-Logs
15,Felipe Anderson,br,"MF,FW",Lazio,24,1993,21,"1,162",55,34.0,12.9,9,,12,,2,1.62,33,16,+17,+1.32,+0.40,19.3,14.6,+4.7,+0.37,+0.40,/en/players/9f1893b9/matchlogs/2017-2018/summary/Felipe-Anderson-Match-Logs
16,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36,"3,240",90,94.7,36.0,36,,0,,1,0.69,29,71,-42,-1.17,+1.83,33.7,71.6,-37.8,-1.05,+1.83,/en/players/326d09ef/matchlogs/2017-2018/summary/Nicolas-Andrade-Match-Logs
17,Marco Andreolli,it,DF,Cagliari,31,1986,23,"1,829",80,53.5,20.3,20,,3,,14,0.91,16,33,-17,-0.84,-0.21,19.4,31.2,-11.8,-0.58,-0.21,/en/players/13d820de/matchlogs/2017-2018/summary/Marco-Andreolli-Match-Logs
18,Gabriele Angella,it,DF,Udinese,28,1989,12,893,74,26.1,9.9,9,,3,,7,0.75,15,16,-1,-0.10,+0.40,14.3,14.7,-0.4,-0.04,+0.40,/en/players/0c971997/matchlogs/2017-2018/summary/Gabriele-Angella-Match-Logs
19,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,25,"1,872",75,54.7,20.8,20,,5,,3,1.48,26,27,-1,-0.05,-0.57,26.4,31.0,-4.5,-0.22,-0.57,/en/players/bbafc0c4/matchlogs/2017-2018/summary/Cristian-Ansaldi-Match-Logs
