Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,0,0,0,0.2,0.2,0.07,-0.2,-0.2,/en/players/c5942695/matchlogs/2017-2018/summary/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,0,0,0,0.2,0.2,0.06,+0.8,+0.8,/en/players/1c529186/matchlogs/2017-2018/summary/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,0,0,0,1.6,1.6,0.10,-1.6,-1.6,/en/players/b96b595c/matchlogs/2017-2018/summary/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,0,0,0,0.6,0.6,0.07,+0.4,+0.4,/en/players/d7403bd5/matchlogs/2017-2018/summary/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,0,15,3,20.0,1.11,0.22,0.00,0.00,0,0,0,0.6,0.6,0.04,-0.6,-0.6,/en/players/ce5b170a/matchlogs/2017-2018/summary/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,0,11,3,27.3,0.59,0.16,0.00,0.00,4,0,0,0.4,0.4,0.04,+0.6,+0.6,/en/players/06050480/matchlogs/2017-2018/summary/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,0,8,0,0.0,0.57,0.00,0.00,,0,0,0,0.7,0.7,0.09,-0.7,-0.7,/en/players/f9714604/matchlogs/2017-2018/summary/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,11,81,28,34.6,2.73,0.94,0.12,0.36,8,1,2,7.9,6.4,0.08,+3.1,+3.6,/en/players/5294a83f/matchlogs/2017-2018/summary/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,3,16,7,43.8,0.53,0.23,0.19,0.43,0,0,0,1.8,1.8,0.11,+1.2,+1.2,/en/players/4bd414c1/matchlogs/2017-2018/summary/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/7a2e46a8/matchlogs/2017-2018/summary/Alisson-Match-Logs
