Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,25,762,469,354,325,83,762,702,30.9,485,6213,1985,31.9,354,325,83,612,116,0,496,476,1238,883,4
Benevento,41,635,410,352,217,66,635,643,30.8,445,5613,1574,28.0,352,217,66,567,150,2,417,475,1110,751,13
Bologna,30,706,446,373,260,73,706,687,39.2,418,6239,1749,28.0,373,260,73,659,132,2,527,458,1164,933,5
Cagliari,29,729,442,377,265,87,729,616,32.0,419,5851,1743,29.8,377,265,87,567,127,1,440,436,1165,981,7
Chievo,25,649,389,323,237,89,649,638,34.3,419,6246,1600,25.6,323,237,89,682,175,2,507,470,1119,1054,5
Crotone,29,692,409,339,270,83,692,684,27.9,493,6260,1610,25.7,339,270,83,665,137,3,528,583,1275,1080,12
Fiorentina,27,782,496,365,299,118,782,697,33.6,463,6122,1846,30.2,365,299,118,641,88,2,553,521,1303,864,8
Genoa,33,604,408,304,240,60,604,567,31.6,388,6036,1745,28.9,304,240,60,561,126,4,435,398,1002,882,12
Hellas Verona,32,711,446,377,255,79,711,671,33.4,447,5655,1513,26.8,377,255,79,600,164,6,436,589,1300,1014,11
Inter,22,692,442,350,264,78,692,666,36.3,424,5798,1646,28.4,350,264,78,533,123,1,410,422,1114,750,6
Juventus,24,585,370,261,225,99,585,508,32.3,344,5155,1446,28.1,261,225,99,492,84,1,408,424,1009,606,7
Lazio,24,657,437,306,278,73,657,661,31.0,456,5547,1784,32.2,306,278,73,589,114,3,475,529,1186,602,7
Milan,23,530,347,238,208,84,530,535,31.8,365,5483,1482,27.0,238,208,84,584,120,3,464,376,906,637,6
Napoli,23,656,426,231,323,102,656,646,31.0,446,6059,1820,30.0,231,323,102,497,77,1,420,367,1023,471,3
Roma,27,576,383,254,215,107,576,507,34.7,331,5051,1489,29.5,254,215,107,539,119,4,420,503,1079,626,13
Sampdoria,27,672,415,281,281,110,672,687,35.1,446,5783,1628,28.2,281,281,110,645,126,3,519,376,1048,751,10
Sassuolo,28,607,389,310,212,85,607,648,31.6,443,6253,1722,27.5,310,212,85,621,112,0,509,554,1161,923,12
SPAL,29,676,424,345,262,69,676,650,34.5,426,5339,1462,27.4,345,262,69,590,162,1,428,539,1215,902,8
Torino,27,616,366,304,238,74,616,512,33.8,339,5712,1626,28.5,304,238,74,547,120,2,427,458,1074,869,10
Udinese,27,654,407,348,238,68,654,622,33.6,413,6107,1674,27.4,348,238,68,680,164,7,516,482,1136,1001,7
