Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Atalanta,25,914,24.05,663,82,67,65,37,94,2.47,663,82,67,65,37,0
Benevento,41,699,18.39,506,65,53,37,37,54,1.42,506,65,53,37,37,1
Bologna,30,545,14.34,396,34,35,27,50,60,1.58,396,34,35,27,50,3
Cagliari,29,552,14.53,399,68,22,33,30,47,1.24,399,68,22,33,30,0
Chievo,25,586,15.42,454,51,34,18,29,58,1.53,454,51,34,18,29,0
Crotone,29,540,14.21,384,63,22,30,40,64,1.68,384,63,22,30,40,1
Fiorentina,27,940,24.74,725,77,52,48,37,92,2.42,725,77,52,48,37,1
Genoa,33,663,17.45,513,51,36,38,24,47,1.24,513,51,36,38,24,1
Hellas Verona,32,513,13.50,357,51,42,28,35,41,1.08,357,51,42,28,35,0
Inter,22,919,24.18,712,86,45,39,36,102,2.68,712,86,45,39,36,1
Juventus,24,911,23.97,678,71,52,42,65,146,3.84,678,71,52,42,65,3
Lazio,24,910,23.95,703,75,54,44,33,149,3.92,703,75,54,44,33,1
Milan,23,991,26.08,786,59,45,53,47,87,2.29,786,59,45,53,47,1
Napoli,23,1102,29.00,914,49,59,44,33,123,3.24,914,49,59,44,33,3
Roma,27,1038,27.32,774,94,60,52,55,96,2.53,774,94,60,52,55,3
Sampdoria,27,704,18.53,509,67,49,34,45,80,2.11,509,67,49,34,45,0
Sassuolo,28,751,19.76,550,71,43,43,44,44,1.16,550,71,43,43,44,0
SPAL,29,535,14.08,361,61,40,24,48,56,1.47,361,61,40,24,48,1
Torino,27,716,18.84,520,75,45,35,40,89,2.34,520,75,45,35,40,1
Udinese,27,680,17.89,511,58,41,34,34,78,2.05,511,58,41,34,34,2
