Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,39,1,2,4,0,33.5,0.27,-5.5,-0.14,230,497,46.3,497,184,39.7,36.8,497,39.7,36.8,300,16,5.3,20,0.53,14.8
Benevento,3,38.0,89,10,1,10,2,77.4,0.35,-4.6,-0.12,236,636,37.1,636,200,45.6,39.7,636,45.6,39.7,424,51,12.0,30,0.79,14.5
Bologna,3,38.0,52,3,1,6,3,48.1,0.28,-0.9,-0.02,412,826,49.9,826,167,52.2,42.3,826,52.2,42.3,454,31,6.8,37,0.97,15.0
Cagliari,3,38.0,61,8,4,4,1,59.9,0.32,-0.1,0.00,287,660,43.5,660,152,53.7,41.7,660,53.7,41.7,412,36,8.7,15,0.39,13.4
Chievo,1,38.0,59,4,2,13,4,55.5,0.28,+0.5,+0.01,257,653,39.4,653,170,51.0,39.7,653,51.0,39.7,434,16,3.7,14,0.37,12.6
Crotone,1,38.0,66,6,3,11,0,64.3,0.30,-1.7,-0.04,304,884,34.4,884,95,72.3,51.6,884,72.3,51.6,428,21,4.9,26,0.68,14.4
Fiorentina,2,38.0,46,2,3,6,0,46.6,0.30,+0.6,+0.02,162,420,38.6,420,190,37.7,35.4,420,37.7,35.4,338,41,12.1,12,0.32,13.7
Genoa,2,38.0,43,4,1,2,2,45.2,0.25,+4.2,+0.11,330,807,40.9,807,115,58.0,44.0,807,58.0,44.0,376,21,5.6,20,0.53,13.9
Hellas Verona,2,38.0,78,6,4,10,2,83.2,0.30,+7.2,+0.19,384,928,41.4,928,232,58.4,44.2,928,58.4,44.2,487,50,10.3,22,0.58,13.8
Inter,1,38.0,30,2,1,2,4,33.1,0.26,+7.1,+0.19,167,321,52.0,321,234,24.7,28.5,321,24.7,28.5,369,21,5.7,10,0.26,12.9
Juventus,3,38.0,24,3,1,4,2,28.1,0.27,+6.1,+0.16,195,383,50.9,383,148,35.1,35.1,383,35.1,35.1,297,20,6.7,16,0.42,13.6
Lazio,1,38.0,49,9,2,5,2,51.3,0.29,+4.3,+0.11,248,509,48.7,509,163,45.8,37.9,509,45.8,37.9,290,12,4.1,23,0.61,15.2
Milan,1,38.0,42,2,0,4,1,40.3,0.30,-0.7,-0.02,192,402,47.8,402,136,33.0,31.5,402,33.0,31.5,305,23,7.5,14,0.37,14.4
Napoli,2,38.0,29,2,2,4,0,26.5,0.25,-2.5,-0.07,176,365,48.2,365,152,30.3,33.3,365,30.3,33.3,228,11,4.8,31,0.82,16.6
Roma,2,38.0,28,3,0,2,0,39.3,0.26,+11.3,+0.30,251,455,55.2,455,209,35.6,35.1,455,35.6,35.1,316,25,7.9,50,1.32,17.3
Sampdoria,3,38.0,60,6,1,7,1,62.9,0.29,+3.9,+0.10,244,595,41.0,595,138,48.1,39.3,595,48.1,39.3,389,24,6.2,32,0.84,15.4
Sassuolo,2,38.0,59,2,3,10,2,53.0,0.29,-4.0,-0.11,288,646,44.6,646,167,53.6,43.2,646,53.6,43.2,425,36,8.5,19,0.50,13.2
SPAL,3,38.0,59,9,1,7,4,63.1,0.28,+8.1,+0.21,261,718,36.4,718,126,60.1,46.1,718,60.1,46.1,389,27,6.9,15,0.39,12.9
Torino,2,38.0,46,5,3,5,0,49.6,0.27,+3.6,+0.10,263,594,44.3,594,191,41.9,37.5,594,41.9,37.5,410,32,7.8,34,0.89,14.6
Udinese,2,38.0,63,2,1,11,5,49.8,0.28,-8.2,-0.22,298,711,41.9,711,155,53.4,41.3,711,53.4,41.3,358,32,8.9,14,0.37,12.9
