Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,37,21,19,14,4,37,30,43.3,17,199,56,28.1,19,14,4,34,5,0,29,18,55,53,1,/en/players/1c529186/matchlogs/2018-2019/defense/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,51,30,29,16,6,51,26,53.8,12,259,96,37.1,29,16,6,63,31,0,32,66,117,181,2,/en/players/b96b595c/matchlogs/2018-2019/defense/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,26,13,10,12,4,26,15,20.0,12,308,65,21.1,10,12,4,17,1,0,16,13,39,13,0,/en/players/d7403bd5/matchlogs/2018-2019/defense/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,7,3,3,2,2,7,2,50.0,1,47,13,27.7,3,2,2,3,1,0,2,1,8,3,0,/en/players/ce5b170a/matchlogs/2018-2019/defense/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,3,2,3,0,0,3,5,20.0,4,21,6,28.6,3,0,0,2,1,0,1,3,6,4,0,/en/players/06050480/matchlogs/2018-2019/defense/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,5,4,1,3,1,5,3,33.3,2,34,6,17.6,1,3,1,1,0,0,1,1,6,5,0,/en/players/fe0b8f0e/matchlogs/2018-2019/defense/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,64,44,40,17,7,64,53,39.6,32,468,152,32.5,40,17,7,67,4,1,63,39,103,41,0,/en/players/246d153b/matchlogs/2018-2019/defense/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,46,28,11,28,7,46,61,29.5,43,590,175,29.7,11,28,7,32,3,0,29,10,56,5,0,/en/players/5294a83f/matchlogs/2018-2019/defense/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,23,17,19,4,0,23,18,38.9,11,107,35,32.7,19,4,0,31,18,1,13,20,43,90,1,/en/players/4bd414c1/matchlogs/2018-2019/defense/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,124,92,45,61,18,124,129,32.6,87,939,264,28.1,45,61,18,66,9,0,57,35,159,25,0,/en/players/cc700722/matchlogs/2018-2019/defense/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,32.5,16,8,13,3,0,16,12,25.0,9,188,54,28.7,13,3,0,50,32,1,18,29,45,243,0,/en/players/585a73a8/matchlogs/2018-2019/defense/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32.0,32,20,29,3,0,32,30,46.7,16,155,47,30.3,29,3,0,38,18,0,20,35,67,146,3,/en/players/e34fc66d/matchlogs/2018-2019/defense/Joachim-Andersen-Match-Logs
