Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,18,1.24,18,0,0,0,0,0,0.00,18,0,0,0,0,0,/en/players/1c529186/matchlogs/2018-2019/gca/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,21,0.57,17,0,0,1,3,2,0.05,17,0,0,1,3,0,/en/players/b96b595c/matchlogs/2018-2019/gca/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,34,2.03,26,0,5,2,1,0,0.00,26,0,5,2,1,0,/en/players/d7403bd5/matchlogs/2018-2019/gca/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,2,0.67,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/ce5b170a/matchlogs/2018-2019/gca/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,6,3.25,4,1,1,0,0,1,0.54,4,1,1,0,0,0,/en/players/06050480/matchlogs/2018-2019/gca/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,2,1.12,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/fe0b8f0e/matchlogs/2018-2019/gca/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,45,1.87,30,2,6,2,4,4,0.17,30,2,6,2,4,1,/en/players/246d153b/matchlogs/2018-2019/gca/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,141,6.38,94,31,5,8,2,10,0.45,94,31,5,8,2,1,/en/players/5294a83f/matchlogs/2018-2019/gca/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,14,0.74,14,0,0,0,0,1,0.05,14,0,0,0,0,0,/en/players/4bd414c1/matchlogs/2018-2019/gca/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,85,2.92,72,0,7,3,3,9,0.31,72,0,7,3,3,0,/en/players/cc700722/matchlogs/2018-2019/gca/Allan-Match-Logs
