Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Emil Audero,it,GK,Sampdoria,21,1997,36.0,51,7,2,6,1,51.3,0.32,+1.3,+0.04,144,428,33.6,428,186,32.1,31.8,428,32.1,31.8,389,33,8.5,25,0.69,15.0,/en/players/649b01d8/matchlogs/2018-2019/keeper/Emil-Audero-Match-Logs
2,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,5,0,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,40,15,49.2,40.2,40,49.2,40.2,24,4,16.7,0,0.00,10.4,/en/players/0acda699/matchlogs/2018-2019/keeper/Francesco-Bardi-Match-Logs
3,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,26,1,1,5,3,22.5,0.34,+0.5,+0.03,90,214,42.1,214,94,32.0,33.5,214,32.0,33.5,144,20,13.9,16,0.89,15.9,/en/players/ee833569/matchlogs/2018-2019/keeper/Etrit-Berisha-Match-Logs
4,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,1,0,0,0,0,0.2,0.10,+0.2,+0.10,13,30,43.3,30,8,42.9,36.9,30,42.9,36.9,13,1,7.7,0,0.00,12.6,/en/players/806f7a26/matchlogs/2018-2019/keeper/Rafael-Cabral-Match-Logs
5,Andrea Consigli,it,GK,Sassuolo,31,1987,35.7,57,4,0,11,2,48.3,0.30,-5.7,-0.16,225,524,42.9,524,161,43.0,36.7,524,43.0,36.7,369,24,6.5,18,0.50,14.1,/en/players/8cabdc1e/matchlogs/2018-2019/keeper/Andrea-Consigli-Match-Logs
6,Alessio Cragno,it,GK,Cagliari,24,1994,38.0,54,8,1,5,2,56.3,0.25,+4.3,+0.11,356,766,46.5,766,172,53.5,42.0,766,53.5,42.0,449,34,7.6,11,0.29,12.9,/en/players/f554e29b/matchlogs/2018-2019/keeper/Alessio-Cragno-Match-Logs
7,Gianluigi Donnarumma,it,GK,Milan,19,1999,34.4,32,3,1,5,1,34.8,0.27,+4.8,+0.14,196,373,52.5,373,194,27.5,30.1,373,27.5,30.1,364,31,8.5,14,0.41,13.8,/en/players/08f5afaa/matchlogs/2018-2019/keeper/Gianluigi-Donnarumma-Match-Logs
8,Bartłomiej Drągowski,pl,GK,Empoli,20,1997,14.0,24,3,0,3,0,25.9,0.26,+1.9,+0.14,72,222,32.4,222,95,41.9,38.4,222,41.9,38.4,157,7,4.5,9,0.64,13.6,/en/players/085e71a7/matchlogs/2018-2019/keeper/Bartlomiej-Dragowski-Match-Logs
9,Bartłomiej Drągowski,pl,GK,Fiorentina,20,1997,2.5,2,0,0,1,0,2.5,0.35,+0.5,+0.18,20,53,37.7,53,9,51.3,42.4,53,51.3,42.4,19,2,10.5,3,1.20,15.5,/en/players/085e71a7/matchlogs/2018-2019/keeper/Bartlomiej-Dragowski-Match-Logs
10,Pierluigi Frattali,it,GK,Parma,32,1985,1.0,2,0,0,0,0,2.0,0.23,0.0,+0.04,5,16,31.3,16,6,34.8,35.5,16,34.8,35.5,13,1,7.7,0,0.00,7.4,/en/players/71dac2c2/matchlogs/2018-2019/keeper/Pierluigi-Frattali-Match-Logs
11,Pierluigi Gollini,it,GK,Atalanta,23,1995,20.0,21,3,2,1,0,19.0,0.25,-2.0,-0.10,108,276,39.1,276,81,38.3,36.7,276,38.3,36.7,153,8,5.2,17,0.85,15.9,/en/players/f0f7f62f/matchlogs/2018-2019/keeper/Pierluigi-Gollini-Match-Logs
