Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Emil Audero,it,GK,Sampdoria,21,1997,36,36,"3,240",51,1.42,142,98,.690,14,7,15,11,30.6,8,7,1,0,/en/players/649b01d8/matchlogs/2018-2019/keeper/Emil-Audero-Match-Logs
2,Francesco Bardi,it,GK,Frosinone,26,1992,3,3,270,5,1.67,11,6,.545,0,1,2,1,33.3,0,0,0,0,/en/players/0acda699/matchlogs/2018-2019/keeper/Francesco-Bardi-Match-Logs
3,Etrit Berisha,al,GK,Atalanta,29,1989,18,18,"1,620",26,1.44,64,43,.609,9,3,6,5,27.8,2,1,0,1,/en/players/ee833569/matchlogs/2018-2019/keeper/Etrit-Berisha-Match-Logs
4,Rafael Cabral,br,GK,Sampdoria,28,1990,2,2,180,1,0.50,2,2,.500,1,1,0,2,100.0,0,0,0,0,/en/players/806f7a26/matchlogs/2018-2019/keeper/Rafael-Cabral-Match-Logs
5,Andrea Consigli,it,GK,Sassuolo,31,1987,36,36,"3,213",57,1.60,144,94,.632,9,15,12,12,33.3,8,4,3,1,/en/players/8cabdc1e/matchlogs/2018-2019/keeper/Andrea-Consigli-Match-Logs
6,Alessio Cragno,it,GK,Cagliari,24,1994,38,38,"3,420",54,1.42,195,147,.764,10,11,17,7,18.4,10,8,2,0,/en/players/f554e29b/matchlogs/2018-2019/keeper/Alessio-Cragno-Match-Logs
7,Gianluigi Donnarumma,it,GK,Milan,19,1999,36,36,"3,092",32,0.93,121,94,.760,18,11,7,11,30.6,4,3,1,0,/en/players/08f5afaa/matchlogs/2018-2019/keeper/Gianluigi-Donnarumma-Match-Logs
8,Bartłomiej Drągowski,pl,GK,Empoli,20,1997,14,14,"1,260",24,1.71,91,70,.769,5,2,7,3,21.4,4,3,1,0,/en/players/085e71a7/matchlogs/2018-2019/keeper/Bartlomiej-Dragowski-Match-Logs
9,Bartłomiej Drągowski,pl,GK,Fiorentina,20,1997,3,2,225,2,0.80,7,5,.714,0,1,1,1,50.0,0,0,0,0,/en/players/085e71a7/matchlogs/2018-2019/keeper/Bartlomiej-Dragowski-Match-Logs
10,Pierluigi Frattali,it,GK,Parma,32,1985,1,1,90,2,2.00,9,7,.778,0,0,1,0,0.0,0,0,0,0,/en/players/71dac2c2/matchlogs/2018-2019/keeper/Pierluigi-Frattali-Match-Logs
11,Pierluigi Gollini,it,GK,Atalanta,23,1995,20,20,"1,800",21,1.05,68,50,.735,11,6,3,4,20.0,3,3,0,0,/en/players/f0f7f62f/matchlogs/2018-2019/keeper/Pierluigi-Gollini-Match-Logs
12,Alfred Gomis,sn,GK,SPAL,24,1993,20,19,"1,723",27,1.41,76,50,.658,3,6,10,6,31.6,1,1,0,0,/en/players/cecbce23/matchlogs/2018-2019/keeper/Alfred-Gomis-Match-Logs
13,Guido Guerrieri,it,GK,Lazio,22,1996,1,1,90,3,3.00,5,2,.400,0,1,0,0,0.0,0,0,0,0,/en/players/77e401c7/matchlogs/2018-2019/keeper/Guido-Guerrieri-Match-Logs
14,Samir Handanović,si,GK,Inter,34,1984,38,38,"3,420",35,0.92,128,101,.750,20,9,9,17,44.7,5,3,0,2,/en/players/74419746/matchlogs/2018-2019/keeper/Samir-Handanovic-Match-Logs
15,Salvador Ichazo,uy,GK,Torino,26,1992,3,2,250,2,0.72,8,7,.875,1,1,0,1,50.0,1,1,0,0,/en/players/514f0896/matchlogs/2018-2019/keeper/Salvador-Ichazo-Match-Logs
16,Jandrei,br,GK,Genoa,25,1993,1,1,90,1,1.00,2,0,.500,0,0,1,0,0.0,0,0,0,0,/en/players/85ea4399/matchlogs/2018-2019/keeper/Jandrei-Match-Logs
17,Orestis Karnezis,gr,GK,Napoli,33,1985,9,9,810,7,0.78,25,19,.760,6,2,1,4,44.4,1,1,0,0,/en/players/85b011bb/matchlogs/2018-2019/keeper/Orestis-Karnezis-Match-Logs
18,Alban Lafont,fr,GK,Fiorentina,19,1999,34,34,"3,015",40,1.19,118,86,.703,8,15,11,9,26.5,6,5,1,0,/en/players/4e7db402/matchlogs/2018-2019/keeper/Alban-Lafont-Match-Logs
19,Federico Marchetti,it,GK,Genoa,35,1983,4,4,360,10,2.50,19,10,.474,2,0,2,1,25.0,0,0,0,0,/en/players/f794b426/matchlogs/2018-2019/keeper/Federico-Marchetti-Match-Logs
