Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,766,918,83.4,14840,5802,766,918,83.4,766,918,83.4,766,918,83.4,0,0.4,-0.4,7,73,13,4,112,/en/players/1c529186/matchlogs/2018-2019/passing/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,1554,1787,87.0,33525,10694,1554,1787,87.0,1554,1787,87.0,1554,1787,87.0,1,0.6,+0.4,8,112,6,2,103,/en/players/b96b595c/matchlogs/2018-2019/passing/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,591,735,80.4,10181,2575,591,735,80.4,591,735,80.4,591,735,80.4,0,0.6,-0.6,11,64,14,3,67,/en/players/d7403bd5/matchlogs/2018-2019/passing/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,77,101,76.2,1199,378,77,101,76.2,77,101,76.2,77,101,76.2,0,0.1,-0.1,2,2,3,0,11,/en/players/ce5b170a/matchlogs/2018-2019/passing/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,78,123,63.4,1504,612,78,123,63.4,78,123,63.4,78,123,63.4,0,0.2,-0.2,3,6,2,1,15,/en/players/06050480/matchlogs/2018-2019/passing/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,26,31,83.9,475,61,26,31,83.9,26,31,83.9,26,31,83.9,0,0.0,0.0,1,1,0,0,0,/en/players/fe0b8f0e/matchlogs/2018-2019/passing/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,845,1160,72.8,14588,6204,845,1160,72.8,845,1160,72.8,845,1160,72.8,3,2.1,+0.9,24,52,31,14,150,/en/players/246d153b/matchlogs/2018-2019/passing/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,1121,1479,75.8,20363,7417,1121,1479,75.8,1121,1479,75.8,1121,1479,75.8,5,6.1,-1.1,80,141,62,8,241,/en/players/5294a83f/matchlogs/2018-2019/passing/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,1000,1126,88.8,24705,7512,1000,1126,88.8,1000,1126,88.8,1000,1126,88.8,0,1.0,-1.0,5,89,4,1,63,/en/players/4bd414c1/matchlogs/2018-2019/passing/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,1981,2235,88.6,36605,9892,1981,2235,88.6,1981,2235,88.6,1981,2235,88.6,3,3.4,-0.4,36,267,37,1,206,/en/players/cc700722/matchlogs/2018-2019/passing/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,32.5,963,1204,80.0,24965,9484,963,1204,80.0,963,1204,80.0,963,1204,80.0,1,1.3,-0.3,10,63,2,2,72,/en/players/585a73a8/matchlogs/2018-2019/passing/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32.0,1816,2048,88.7,40867,12600,1816,2048,88.7,1816,2048,88.7,1816,2048,88.7,1,0.5,+0.5,6,150,6,1,143,/en/players/e34fc66d/matchlogs/2018-2019/passing/Joachim-Andersen-Match-Logs
13,Marco Andreolli,it,DF,Cagliari,32,1986,1.2,62,69,89.9,1502,392,62,69,89.9,62,69,89.9,62,69,89.9,0,0.0,0.0,0,1,0,0,5,/en/players/13d820de/matchlogs/2018-2019/passing/Marco-Andreolli-Match-Logs
14,Marco Andreolli,it,DF,Chievo,32,1986,7.2,191,233,82.0,4437,1197,191,233,82.0,191,233,82.0,191,233,82.0,0,0.0,0.0,0,9,0,0,8,/en/players/13d820de/matchlogs/2018-2019/passing/Marco-Andreolli-Match-Logs
15,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,20.1,579,878,65.9,12315,5296,579,878,65.9,579,878,65.9,579,878,65.9,2,2.6,-0.6,32,49,48,32,165,/en/players/bbafc0c4/matchlogs/2018-2019/passing/Cristian-Ansaldi-Match-Logs
16,Mirco Antenucci,it,FW,SPAL,33,1984,23.7,425,563,75.5,6241,1069,425,563,75.5,425,563,75.5,425,563,75.5,0,1.5,-1.5,19,26,14,3,33,/en/players/43a2e16c/matchlogs/2018-2019/passing/Mirco-Antenucci-Match-Logs
17,Luca Antonelli,it,"DF,MF",Empoli,31,1987,8.4,273,379,72.0,4724,2100,273,379,72.0,273,379,72.0,273,379,72.0,1,0.2,+0.8,4,23,5,1,40,/en/players/40f0ed6c/matchlogs/2018-2019/passing/Luca-Antonelli-Match-Logs
18,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,0.6,31,37,83.8,514,243,31,37,83.8,31,37,83.8,31,37,83.8,0,0.0,0.0,0,4,1,0,8,/en/players/0830a4f9/matchlogs/2018-2019/passing/Mauro-Antonio-Burruchaga-Match-Logs
19,Joaquín Ardaiz,uy,FW,Frosinone,19,1999,0.2,2,4,50.0,21,0,2,4,50.0,2,4,50.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,/en/players/eb823875/matchlogs/2018-2019/passing/Joaquin-Ardaiz-Match-Logs
20,Lorenzo Ariaudo,it,DF,Frosinone,29,1989,18.7,512,608,84.2,11247,3475,512,608,84.2,512,608,84.2,512,608,84.2,0,0.2,-0.2,3,27,2,0,20,/en/players/68b78c2a/matchlogs/2018-2019/passing/Lorenzo-Ariaudo-Match-Logs
21,Nicolò Armini,it,DF,Lazio,17,2001,0.4,17,25,68.0,335,126,17,25,68.0,17,25,68.0,17,25,68.0,0,0.0,0.0,0,1,1,0,2,/en/players/2f7407fa/matchlogs/2018-2019/passing/Nicolo-Armini-Match-Logs
22,Kwadwo Asamoah,gh,DF,Inter,29,1988,29.7,1933,2216,87.2,35205,10592,1933,2216,87.2,1933,2216,87.2,1933,2216,87.2,1,1.5,-0.5,30,174,44,14,217,/en/players/089550f5/matchlogs/2018-2019/passing/Kwadwo-Asamoah-Match-Logs
23,Emil Audero,it,GK,Sampdoria,21,1997,36.0,849,1158,73.3,22289,13292,849,1158,73.3,849,1158,73.3,849,1158,73.3,0,0.1,-0.1,2,3,0,0,0,/en/players/649b01d8/matchlogs/2018-2019/passing/Emil-Audero-Match-Logs
24,Khouma Babacar,sn,FW,Sassuolo,25,1993,16.5,248,303,81.8,3472,349,248,303,81.8,248,303,81.8,248,303,81.8,2,1.1,+0.9,11,4,9,2,14,/en/players/422ec08a/matchlogs/2018-2019/passing/Khouma-Babacar-Match-Logs
25,Milan Badelj,hr,MF,Lazio,29,1989,12.7,736,877,83.9,13525,4251,736,877,83.9,736,877,83.9,736,877,83.9,0,0.6,-0.6,12,76,12,3,84,/en/players/e8c930bb/matchlogs/2018-2019/passing/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,25.6,1177,1353,87.0,21065,5934,1177,1353,87.0,1177,1353,87.0,1177,1353,87.0,1,1.7,-0.7,25,119,14,2,149,/en/players/59bf127b/matchlogs/2018-2019/passing/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,9.9,259,344,75.3,3985,671,259,344,75.3,259,344,75.3,259,344,75.3,2,1.7,+0.3,17,8,16,7,24,/en/players/509a4ccb/matchlogs/2018-2019/passing/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,24,25,96.0,449,97,24,25,96.0,24,25,96.0,24,25,96.0,0,0.1,-0.1,1,0,1,0,1,/en/players/9be4ee80/matchlogs/2018-2019/passing/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,1008,1261,79.9,21908,8406,1008,1261,79.9,1008,1261,79.9,1008,1261,79.9,0,0.3,-0.3,3,47,4,1,60,/en/players/0821331c/matchlogs/2018-2019/passing/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,152,183,83.1,2478,576,152,183,83.1,152,183,83.1,152,183,83.1,0,0.1,-0.1,2,7,1,1,17,/en/players/01efac19/matchlogs/2018-2019/passing/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,1021,1309,78.0,21014,8373,1021,1309,78.0,1021,1309,78.0,1021,1309,78.0,0,1.2,-1.2,12,74,18,8,132,/en/players/c010b898/matchlogs/2018-2019/passing/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,42,74,56.8,1293,855,42,74,56.8,42,74,56.8,42,74,56.8,0,0.0,0.0,0,0,0,0,0,/en/players/0acda699/matchlogs/2018-2019/passing/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,1532,1926,79.5,27347,7213,1532,1926,79.5,1532,1926,79.5,1532,1926,79.5,3,3.0,0.0,43,151,52,9,178,/en/players/6928979a/matchlogs/2018-2019/passing/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,604,848,71.2,10505,3780,604,848,71.2,604,848,71.2,604,848,71.2,2,1.8,+0.2,18,92,14,2,94,/en/players/a64cbd35/matchlogs/2018-2019/passing/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,396,515,76.9,6319,2215,396,515,76.9,396,515,76.9,396,515,76.9,2,1.3,+0.7,10,44,13,1,52,/en/players/43a1bea5/matchlogs/2018-2019/passing/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,192,248,77.4,2954,498,192,248,77.4,192,248,77.4,192,248,77.4,2,0.8,+1.2,14,11,7,0,20,/en/players/e5bf73f3/matchlogs/2018-2019/passing/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,183,205,89.3,4204,1342,183,205,89.3,183,205,89.3,183,205,89.3,0,0.0,0.0,0,14,0,0,12,/en/players/7c0000fd/matchlogs/2018-2019/passing/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,973,1245,78.2,17975,5204,973,1245,78.2,973,1245,78.2,973,1245,78.2,1,3.4,-2.4,44,90,26,9,149,/en/players/ea06dd97/matchlogs/2018-2019/passing/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,509,610,83.4,11448,3554,509,610,83.4,509,610,83.4,509,610,83.4,0,0.2,-0.2,1,36,3,0,28,/en/players/75b86fb3/matchlogs/2018-2019/passing/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,469,550,85.3,9249,2673,469,550,85.3,469,550,85.3,469,550,85.3,0,0.0,0.0,2,39,0,0,21,/en/players/c01c66d9/matchlogs/2018-2019/passing/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,696,1095,63.6,14587,6402,696,1095,63.6,696,1095,63.6,696,1095,63.6,3,3.8,-0.8,50,48,54,46,174,/en/players/438dfc6a/matchlogs/2018-2019/passing/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,396,492,80.5,6534,1650,396,492,80.5,396,492,80.5,396,492,80.5,0,0.4,-0.4,6,20,0,0,25,/en/players/d3d758d8/matchlogs/2018-2019/passing/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,529,809,65.4,7762,1922,529,809,65.4,529,809,65.4,529,809,65.4,3,4.1,-1.1,34,42,25,2,72,/en/players/d705ba44/matchlogs/2018-2019/passing/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,632,837,75.5,11015,3655,632,837,75.5,632,837,75.5,632,837,75.5,1,1.7,-0.7,25,74,22,11,111,/en/players/0000acda/matchlogs/2018-2019/passing/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,292,324,90.1,6707,2286,292,324,90.1,292,324,90.1,292,324,90.1,0,0.0,0.0,0,17,0,0,16,/en/players/3b15ef2d/matchlogs/2018-2019/passing/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,1664,1997,83.3,33777,9378,1664,1997,83.3,1664,1997,83.3,1664,1997,83.3,5,2.4,+2.6,34,163,26,1,220,/en/players/db092d3b/matchlogs/2018-2019/passing/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,1072,1239,86.5,20187,4398,1072,1239,86.5,1072,1239,86.5,1072,1239,86.5,3,1.2,+1.8,21,110,23,7,95,/en/players/3b8674e6/matchlogs/2018-2019/passing/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,955,1333,71.6,16311,4594,955,1333,71.6,955,1333,71.6,955,1333,71.6,4,3.9,+0.1,51,71,58,10,174,/en/players/53a0e358/matchlogs/2018-2019/passing/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,529,753,70.3,9184,2453,529,753,70.3,529,753,70.3,529,753,70.3,3,4.6,-1.6,36,18,26,6,73,/en/players/dc1c2fce/matchlogs/2018-2019/passing/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,1304,1586,82.2,21086,8950,1304,1586,82.2,1304,1586,82.2,1304,1586,82.2,2,0.8,+1.2,10,94,19,6,159,/en/players/61b3978f/matchlogs/2018-2019/passing/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,343,476,72.1,10986,6980,343,476,72.1,343,476,72.1,343,476,72.1,0,0.0,0.0,0,1,0,0,0,/en/players/ee833569/matchlogs/2018-2019/passing/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,123,152,80.9,1799,421,123,152,80.9,123,152,80.9,123,152,80.9,0,0.1,-0.1,4,11,2,0,15,/en/players/d5575935/matchlogs/2018-2019/passing/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,16.4,548,713,76.9,10130,2486,548,713,76.9,548,713,76.9,548,713,76.9,3,2.8,+0.2,33,37,22,8,78,/en/players/ee93c1a9/matchlogs/2018-2019/passing/Federico-Bernardeschi-Match-Logs
54,Daniel Bessa,it,MF,Genoa,25,1993,27.1,899,1106,81.3,15448,3933,899,1106,81.3,899,1106,81.3,899,1106,81.3,3,2.7,+0.3,42,68,37,7,125,/en/players/88895312/matchlogs/2018-2019/passing/Daniel-Bessa-Match-Logs
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,11.9,238,325,73.2,3965,1082,238,325,73.2,238,325,73.2,238,325,73.2,0,0.8,-0.8,9,5,9,3,32,/en/players/6b99d135/matchlogs/2018-2019/passing/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,12.4,753,825,91.3,14859,3540,753,825,91.3,753,825,91.3,753,825,91.3,0,0.6,-0.6,12,69,7,2,69,/en/players/5710a281/matchlogs/2018-2019/passing/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,35.5,1379,1958,70.4,26243,10658,1379,1958,70.4,1379,1958,70.4,1379,1958,70.4,4,5.2,-1.2,64,88,59,29,262,/en/players/9e1577aa/matchlogs/2018-2019/passing/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,31.6,849,1288,65.9,17795,8581,849,1288,65.9,849,1288,65.9,849,1288,65.9,0,0.6,-0.6,7,109,18,5,125,/en/players/64cd167d/matchlogs/2018-2019/passing/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,12.2,408,564,72.3,7768,2376,408,564,72.3,408,564,72.3,408,564,72.3,2,2.8,-0.8,27,44,18,3,73,/en/players/455a2b79/matchlogs/2018-2019/passing/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,3.9,192,244,78.7,3413,879,192,244,78.7,192,244,78.7,192,244,78.7,0,0.8,-0.8,8,16,6,2,24,/en/players/455a2b79/matchlogs/2018-2019/passing/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,10.4,255,320,79.7,4119,553,255,320,79.7,255,320,79.7,255,320,79.7,1,0.9,+0.1,15,20,6,0,17,/en/players/f4ec4fd0/matchlogs/2018-2019/passing/Kevin-Prince-Boateng-Match-Logs
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,16.0,419,494,84.8,5760,893,419,494,84.8,419,494,84.8,419,494,84.8,1,1.4,-0.4,15,17,11,0,23,/en/players/fe012aca/matchlogs/2018-2019/passing/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,7.2,327,374,87.4,5315,1134,327,374,87.4,327,374,87.4,327,374,87.4,1,0.8,+0.2,10,18,15,1,31,/en/players/d995ed27/matchlogs/2018-2019/passing/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,25.6,1076,1222,88.1,20455,6998,1076,1222,88.1,1076,1222,88.1,1076,1222,88.1,1,0.3,+0.7,8,89,10,2,71,/en/players/fb77bfef/matchlogs/2018-2019/passing/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,27.5,1399,1610,86.9,34067,12387,1399,1610,86.9,1399,1610,86.9,1399,1610,86.9,0,0.8,-0.8,7,142,17,1,95,/en/players/52ec54d0/matchlogs/2018-2019/passing/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,11.7,263,381,69.0,4669,1207,263,381,69.0,263,381,69.0,263,381,69.0,2,0.5,+1.5,12,15,7,2,34,/en/players/ef5b337e/matchlogs/2018-2019/passing/Fabio-Borini-Match-Logs
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,22.3,888,1086,81.8,13753,3316,888,1086,81.8,888,1086,81.8,888,1086,81.8,0,1.8,-1.8,26,74,13,3,75,/en/players/0d077b88/matchlogs/2018-2019/passing/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,16.6,883,1042,84.7,16188,4828,883,1042,84.7,883,1042,84.7,883,1042,84.7,2,0.8,+1.2,10,82,24,2,104,/en/players/605873e1/matchlogs/2018-2019/passing/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,2.0,85,103,82.5,1934,529,85,103,82.5,85,103,82.5,85,103,82.5,0,0.0,0.0,1,5,0,0,3,/en/players/5fd5ed86/matchlogs/2018-2019/passing/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11.0,440,556,79.1,8800,3757,440,556,79.1,440,556,79.1,440,556,79.1,0,0.3,-0.3,3,46,2,0,71,/en/players/54c356b0/matchlogs/2018-2019/passing/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,2.6,72,91,79.1,1166,336,72,91,79.1,72,91,79.1,72,91,79.1,0,0.1,-0.1,1,7,2,0,10,/en/players/d417b306/matchlogs/2018-2019/passing/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,1.9,59,73,80.8,1062,295,59,73,80.8,59,73,80.8,59,73,80.8,0,0.1,-0.1,1,3,1,0,9,/en/players/d0643f8f/matchlogs/2018-2019/passing/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,29.4,2301,2647,86.9,47989,14076,2301,2647,86.9,2301,2647,86.9,2301,2647,86.9,1,3.1,-2.1,49,296,46,12,296,/en/players/33b8d077/matchlogs/2018-2019/passing/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,46,64,71.9,1497,971,46,64,71.9,46,64,71.9,46,64,71.9,0,0.0,0.0,0,0,0,0,0,/en/players/806f7a26/matchlogs/2018-2019/passing/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,6.4,293,375,78.1,5744,2335,293,375,78.1,293,375,78.1,293,375,78.1,2,0.6,+1.4,5,18,7,3,47,/en/players/00b0bb87/matchlogs/2018-2019/passing/Fabrizio-Cacciatore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,5.5,198,267,74.2,3873,1912,198,267,74.2,198,267,74.2,198,267,74.2,0,0.9,-0.9,9,29,11,5,45,/en/players/00b0bb87/matchlogs/2018-2019/passing/Fabrizio-Cacciatore-Match-Logs
77,Martín Cáceres,uy,DF,Juventus,31,1987,7.0,420,461,91.1,8063,2062,420,461,91.1,420,461,91.1,420,461,91.1,0,0.0,0.0,1,29,0,0,14,/en/players/e94d79e3/matchlogs/2018-2019/passing/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,3.4,128,154,83.1,2279,808,128,154,83.1,128,154,83.1,128,154,83.1,0,0.0,0.0,0,13,0,0,10,/en/players/e94d79e3/matchlogs/2018-2019/passing/Martin-Caceres-Match-Logs
79,Felipe Caicedo,ec,FW,Lazio,29,1988,15.2,277,367,75.5,3863,871,277,367,75.5,277,367,75.5,277,367,75.5,2,1.6,+0.4,18,19,13,0,31,/en/players/93b891d1/matchlogs/2018-2019/passing/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,15.7,577,723,79.8,11379,4919,577,723,79.8,577,723,79.8,577,723,79.8,0,0.3,-0.3,10,53,10,6,80,/en/players/34bb6fbd/matchlogs/2018-2019/passing/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,21.7,1194,1476,80.9,21497,8274,1194,1476,80.9,1194,1476,80.9,1194,1476,80.9,2,2.1,-0.1,19,114,21,14,156,/en/players/2146785a/matchlogs/2018-2019/passing/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,1507,1887,79.9,28622,6966,1507,1887,79.9,1507,1887,79.9,1507,1887,79.9,6,5.8,+0.2,81,139,45,3,206,/en/players/cd0fa27b/matchlogs/2018-2019/passing/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,1369,1683,81.3,24258,5641,1369,1683,81.3,1369,1683,81.3,1369,1683,81.3,10,9.2,+0.8,75,76,55,23,162,/en/players/78841da9/matchlogs/2018-2019/passing/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,193,270,71.5,3267,700,193,270,71.5,193,270,71.5,193,270,71.5,3,1.3,+1.7,11,15,6,2,21,/en/players/895ff3ca/matchlogs/2018-2019/passing/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,890,1026,86.7,17136,3409,890,1026,86.7,890,1026,86.7,890,1026,86.7,1,2.8,-1.8,19,67,14,2,71,/en/players/a65ce836/matchlogs/2018-2019/passing/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,1261,1526,82.6,23553,7793,1261,1526,82.6,1261,1526,82.6,1261,1526,82.6,3,3.4,-0.4,32,92,46,22,165,/en/players/bd6351cd/matchlogs/2018-2019/passing/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,210,302,69.5,3681,1117,210,302,69.5,210,302,69.5,210,302,69.5,0,1.1,-1.1,16,8,13,8,43,/en/players/356c9002/matchlogs/2018-2019/passing/Antonio-Candreva-Match-Logs
