Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,19,15,"1,302",0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.0,0.0,0.4,0.0,0.4,0.03,0.0,0.03,/en/players/1c529186/matchlogs/2018-2019/summary/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,37,37,"3,309",3,1,0,0,4,1,3,1,0.11,0.08,0.11,3.0,3.0,0.6,3.0,0.6,0.10,3.0,0.10,/en/players/b96b595c/matchlogs/2018-2019/summary/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,28,19,"1,510",2,0,0,0,4,0,2,0,0.12,0.12,0.12,1.5,1.5,0.6,1.5,0.6,0.13,1.5,0.13,/en/players/d7403bd5/matchlogs/2018-2019/summary/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,5,3,270,1,0,0,0,1,0,1,0,0.33,0.33,0.33,0.5,0.5,0.1,0.5,0.1,0.20,0.5,0.20,/en/players/ce5b170a/matchlogs/2018-2019/summary/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,3,2,166,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.1,0.1,0.2,0.1,0.2,0.16,0.1,0.16,/en/players/06050480/matchlogs/2018-2019/summary/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,4,2,161,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.0,0.17,0.3,0.17,/en/players/fe0b8f0e/matchlogs/2018-2019/summary/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,30,22,"2,160",1,3,0,0,5,1,1,3,0.17,0.04,0.17,1.9,1.9,2.1,1.9,2.1,0.17,1.9,0.17,/en/players/246d153b/matchlogs/2018-2019/summary/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,27,25,"1,990",4,5,1,1,5,1,4,5,0.41,0.14,0.36,4.6,3.8,6.1,4.6,6.1,0.48,3.8,0.45,/en/players/5294a83f/matchlogs/2018-2019/summary/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,20,19,"1,713",1,0,0,0,4,0,1,0,0.05,0.05,0.05,0.2,0.2,1.0,0.2,1.0,0.06,0.2,0.06,/en/players/4bd414c1/matchlogs/2018-2019/summary/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,33,28,"2,616",1,3,0,0,10,0,1,3,0.14,0.03,0.14,1.2,1.2,3.4,1.2,3.4,0.16,1.2,0.16,/en/players/cc700722/matchlogs/2018-2019/summary/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,33,33,"2,922",4,1,0,0,9,1,4,1,0.15,0.12,0.15,2.2,2.2,1.3,2.2,1.3,0.11,2.2,0.11,/en/players/585a73a8/matchlogs/2018-2019/summary/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32,32,"2,880",0,1,0,0,7,0,0,1,0.03,0.00,0.03,0.9,0.9,0.5,0.9,0.5,0.05,0.9,0.05,/en/players/e34fc66d/matchlogs/2018-2019/summary/Joachim-Andersen-Match-Logs
13,Marco Andreolli,it,DF,Cagliari,32,1986,3,1,106,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,/en/players/13d820de/matchlogs/2018-2019/summary/Marco-Andreolli-Match-Logs
14,Marco Andreolli,it,DF,Chievo,32,1986,8,7,646,0,0,0,0,2,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.0,0.03,0.2,0.03,/en/players/13d820de/matchlogs/2018-2019/summary/Marco-Andreolli-Match-Logs
15,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,24,23,"1,807",3,2,0,0,3,0,3,2,0.25,0.15,0.25,1.4,1.4,2.6,1.4,2.6,0.20,1.4,0.20,/en/players/bbafc0c4/matchlogs/2018-2019/summary/Cristian-Ansaldi-Match-Logs
16,Mirco Antenucci,it,FW,SPAL,33,1984,35,22,"2,133",5,0,1,2,0,0,5,0,0.21,0.17,0.17,6.7,5.1,1.5,6.7,1.5,0.34,5.1,0.28,/en/players/43a2e16c/matchlogs/2018-2019/summary/Mirco-Antenucci-Match-Logs
17,Luca Antonelli,it,"DF,MF",Empoli,31,1987,13,10,755,0,1,0,0,1,0,0,1,0.12,0.00,0.12,0.8,0.8,0.2,0.8,0.2,0.12,0.8,0.12,/en/players/40f0ed6c/matchlogs/2018-2019/summary/Luca-Antonelli-Match-Logs
18,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,1,0,58,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,/en/players/0830a4f9/matchlogs/2018-2019/summary/Mauro-Antonio-Burruchaga-Match-Logs
