Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,27,18178,22052,82.4,345298,110648,18178,22052,82.4,18178,22052,82.4,18178,22052,82.4,60,50.1,+9.9,493,1326,474,100,2037
Bologna,29,12116,16034,75.6,244448,93105,12116,16034,75.6,12116,16034,75.6,12116,16034,75.6,35,30.7,+4.3,344,970,265,90,1595
Cagliari,30,14565,18872,77.2,286422,107492,14565,18872,77.2,14565,18872,77.2,14565,18872,77.2,27,27.4,-0.4,306,1006,310,87,1695
Chievo,36,12555,16534,75.9,256489,95611,12555,16534,75.9,12555,16534,75.9,12555,16534,75.9,17,23.1,-6.1,284,908,253,101,1464
Empoli,29,14685,18406,79.8,291865,99453,14685,18406,79.8,14685,18406,79.8,14685,18406,79.8,36,33.9,+2.1,323,1207,340,63,1691
Fiorentina,27,13356,17251,77.4,273975,93697,13356,17251,77.4,13356,17251,77.4,13356,17251,77.4,24,33.7,-9.7,425,1092,312,89,1709
Frosinone,33,11524,15516,74.3,231244,86911,11524,15516,74.3,11524,15516,74.3,11524,15516,74.3,21,24.8,-3.8,310,788,249,124,1382
Genoa,31,11178,15296,73.1,228852,87714,11178,15296,73.1,11178,15296,73.1,11178,15296,73.1,26,27.2,-1.2,365,986,330,96,1536
Inter,23,19559,23407,83.6,377028,119426,19559,23407,83.6,19559,23407,83.6,19559,23407,83.6,36,44.4,-8.4,471,1487,451,160,2006
Juventus,31,18393,21842,84.2,371028,109670,18393,21842,84.2,18393,21842,84.2,18393,21842,84.2,44,37.0,+7.0,453,1427,397,125,1744
Lazio,30,15879,19761,80.4,301275,105137,15879,19761,80.4,15879,19761,80.4,15879,19761,80.4,35,38.9,-3.9,465,1305,415,90,1924
Milan,23,17532,20973,83.6,341010,110685,17532,20973,83.6,17532,20973,83.6,17532,20973,83.6,35,35.1,-0.1,445,1318,383,103,1813
Napoli,26,21121,24768,85.3,395686,119057,21121,24768,85.3,21121,24768,85.3,21121,24768,85.3,54,54.0,0.0,554,1773,442,91,2077
Parma,31,9996,13626,73.4,211889,84907,9996,13626,73.4,9996,13626,73.4,9996,13626,73.4,22,22.4,-0.4,235,775,178,44,1227
Roma,26,15367,19067,80.6,304684,112087,15367,19067,80.6,15367,19067,80.6,15367,19067,80.6,41,43.3,-2.3,467,1251,384,119,1983
Sampdoria,24,17188,21150,81.3,311279,105050,17188,21150,81.3,17188,21150,81.3,17188,21150,81.3,41,31.8,+9.2,329,1266,359,91,1828
Sassuolo,29,16500,20036,82.4,311173,101495,16500,20036,82.4,16500,20036,82.4,16500,20036,82.4,33,31.0,+2.0,357,1171,278,67,1585
SPAL,28,14319,17861,80.2,268760,96183,14319,17861,80.2,14319,17861,80.2,14319,17861,80.2,30,23.4,+6.6,334,926,255,119,1395
Torino,25,12929,17023,76.0,264002,94180,12929,17023,76.0,12929,17023,76.0,12929,17023,76.0,31,33.7,-2.7,374,942,328,123,1569
Udinese,32,11202,14780,75.8,227608,83549,11202,14780,75.8,11202,14780,75.8,11202,14780,75.8,30,27.2,+2.8,337,770,237,76,1315
