Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,27,22052,20093,1959,565,64,3441,613,813,241,35,24,17,15984,2678,3390,6438,13410,821,810,247,18178,62,24,371,501
Bologna,29,16034,14024,2010,549,32,2553,443,739,201,46,10,14,9736,2275,4023,3970,9588,842,824,312,12116,68,10,256,480
Cagliari,30,18872,16876,1996,537,14,3283,554,797,189,24,30,6,11293,2720,4859,3592,12595,976,817,343,14565,55,30,286,468
Chievo,36,16534,14685,1849,522,23,2616,570,679,128,9,17,1,9760,2403,4371,4502,9700,880,748,254,12555,66,17,292,438
Empoli,29,18406,16475,1931,525,43,2796,634,654,187,16,17,11,12500,2311,3595,5775,10686,611,768,313,14685,65,17,313,451
Fiorentina,27,17251,15342,1909,545,40,2440,531,787,233,25,30,10,11233,2202,3816,4950,10124,839,753,250,13356,40,30,280,420
Frosinone,33,15516,13578,1938,577,17,2388,505,819,160,33,20,4,9124,2170,4222,4838,8541,714,742,333,11524,67,20,239,475
Genoa,31,15296,13370,1926,534,26,2735,467,800,186,17,35,11,8882,2147,4267,4114,8915,798,774,190,11178,59,35,264,424
Inter,23,23407,21452,1955,533,37,3408,709,1084,303,37,35,12,16674,2733,4000,6222,15029,779,793,307,19559,49,35,321,482
Juventus,31,21842,20114,1728,481,48,3074,887,869,239,18,18,9,15403,2646,3793,7511,12329,740,662,284,18393,64,18,349,404
Lazio,30,19761,18052,1709,423,40,3332,548,747,226,22,29,10,13624,2329,3808,4828,12717,856,714,282,15879,88,29,362,417
Milan,23,20973,19076,1897,522,70,3225,649,762,230,40,14,4,15199,2297,3477,7140,11943,581,757,289,17532,54,14,344,424
Napoli,26,24768,22988,1780,465,84,3376,755,779,255,35,26,7,17957,3044,3767,7546,15360,654,720,252,21121,72,26,351,479
Parma,31,13626,11751,1875,450,26,2389,426,520,144,23,18,4,7828,2098,3700,4867,6753,707,716,216,9996,83,18,268,415
Roma,26,19067,17191,1876,493,49,3239,574,860,224,23,35,3,12635,2764,3668,5319,11467,801,775,283,15367,42,35,318,432
Sampdoria,24,21150,19273,1877,616,43,3162,556,640,167,31,13,5,15031,2708,3411,6606,12434,806,695,316,17188,66,13,422,515
Sassuolo,29,20036,18102,1934,617,34,2812,493,669,186,19,31,11,14320,2375,3341,7050,11159,556,723,255,16500,65,31,318,480
SPAL,28,17861,15894,1967,643,16,2999,436,869,194,24,21,5,11966,2322,3573,5051,10766,732,705,258,14319,32,21,266,456
Torino,25,17023,15055,1968,607,20,2588,625,753,174,17,17,1,10149,2364,4510,4104,10306,991,791,231,12929,66,17,234,458
Udinese,32,14780,12913,1867,496,24,2428,519,588,162,14,34,3,9080,2131,3569,3748,9005,664,714,226,11202,49,34,242,409
