Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Atalanta,27,57.2,26743,2067,7426,12846,8422,1275,24884,492,812,60.6,523,25,19056,116757,63704,20896,18178,87.0,530,507
Bologna,29,45.2,20538,2335,7012,9393,5506,820,18580,321,615,52.2,350,20,12688,80343,45277,14902,12116,81.3,441,413
Cagliari,30,49.9,23057,2530,7267,11360,5738,773,21147,261,478,54.6,284,11,14594,77015,39344,17529,14565,83.1,461,388
Chievo,36,43.5,20785,2471,7540,9844,4617,581,18995,281,449,62.6,293,11,12933,69694,36082,15300,12555,82.1,405,431
Empoli,29,47.9,22369,2522,7249,10442,6218,926,20508,367,610,60.2,393,20,15670,92321,52887,17241,14685,85.2,431,387
Fiorentina,27,50.3,21846,2284,6842,10875,5638,937,19990,364,641,56.8,403,29,14354,88134,49938,15839,13356,84.3,454,483
Frosinone,33,41.4,19687,2533,7431,9048,4403,596,17820,276,510,54.1,305,23,12328,71139,39199,14229,11525,81.0,384,347
Genoa,31,43.2,19706,2176,6137,9100,5797,877,17817,363,577,62.9,392,22,12252,74593,41475,13999,11178,79.8,386,386
Inter,23,59.4,27415,2274,7583,13803,7786,1119,25559,351,551,63.7,366,15,19515,109282,59887,22087,19544,88.5,431,380
Juventus,31,55.9,25889,2153,7122,13090,7438,1045,24208,444,774,57.4,475,20,18767,106888,58934,20956,18393,87.8,414,350
Lazio,30,50.9,24008,2250,7089,11424,7168,1103,22343,386,694,55.6,430,18,16380,100487,57987,18599,15879,85.4,385,379
Milan,23,54.0,25373,2621,8289,12355,6454,931,23567,425,690,61.6,462,27,18104,101030,55654,20070,17532,87.4,452,421
Napoli,26,59.1,28652,2114,7296,14815,8430,1068,26920,418,707,59.1,457,25,21516,113047,65287,23865,21121,88.5,380,351
Parma,31,37.7,18145,2944,7395,8039,3864,585,16290,364,656,55.5,396,26,10805,67533,36587,12572,9996,79.5,411,402
Roma,26,51.4,23350,2391,7026,11302,6521,1087,21527,470,786,59.8,499,21,15866,91772,49635,18068,15367,85.1,441,378
Sampdoria,24,55.1,25381,2672,7652,12710,6590,834,23577,380,614,61.9,400,24,17606,88035,49190,20108,17188,85.5,404,467
Sassuolo,29,53.8,24278,2463,7982,11994,5911,778,22405,460,755,60.9,494,32,17150,97762,55300,18999,16500,86.8,470,411
SPAL,28,50.5,22155,2657,7880,10440,5490,723,20254,351,570,61.6,375,15,14766,94097,53344,16544,14319,86.6,471,427
Torino,25,51.1,21765,2205,6804,10381,6018,906,19863,437,723,60.4,456,20,13838,87044,47994,15611,12929,82.8,472,496
Udinese,32,42.5,19338,2388,6863,9244,4491,683,17535,393,629,62.5,415,9,12100,76175,42737,13648,11248,82.4,444,435
