Squad,# Pl,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,27,75,642,211,32.9,16.89,5.55,0.11,0.35,16,2,4,66.8,63.8,0.10,+8.2,+9.2
Bologna,29,45,495,159,32.1,13.03,4.18,0.08,0.25,23,5,5,47.3,43.5,0.09,-2.3,-3.5
Cagliari,30,36,434,124,28.6,11.42,3.26,0.08,0.27,12,2,3,39.2,36.9,0.09,-3.2,-2.9
Chievo,36,25,388,112,28.9,10.21,2.95,0.05,0.19,13,4,6,35.9,31.6,0.08,-10.9,-10.6
Empoli,29,48,454,142,31.3,11.95,3.74,0.10,0.31,16,4,7,52.1,46.7,0.11,-4.1,-2.7
Fiorentina,27,45,577,175,30.3,15.18,4.61,0.07,0.23,16,5,6,52.3,47.7,0.09,-7.3,-7.7
Frosinone,33,28,436,120,27.5,11.47,3.16,0.06,0.20,24,4,5,35.6,31.9,0.07,-7.6,-7.9
Genoa,31,37,526,150,28.5,13.84,3.95,0.06,0.22,23,4,5,43.7,39.9,0.08,-6.7,-6.9
Inter,23,57,619,185,29.9,16.29,4.87,0.08,0.26,9,8,9,64.4,57.6,0.09,-8.4,-9.6
Juventus,31,66,599,193,32.2,15.76,5.08,0.10,0.31,28,7,8,58.3,52.3,0.09,+7.7,+6.7
Lazio,30,54,612,189,30.9,16.11,4.97,0.08,0.25,22,6,6,56.4,51.9,0.09,-2.4,-3.9
Milan,23,52,580,190,32.8,15.26,5.00,0.08,0.26,20,3,4,48.3,45.3,0.08,+3.7,+3.7
Napoli,26,73,702,234,33.3,18.47,6.16,0.10,0.30,22,3,4,68.3,65.6,0.10,+4.7,+4.4
Parma,31,40,353,107,30.3,9.29,2.82,0.10,0.34,18,4,5,38.5,34.7,0.10,+1.5,+1.3
Roma,26,66,624,212,34.0,16.42,5.58,0.10,0.28,11,6,6,64.2,59.6,0.10,+1.8,+0.4
Sampdoria,24,60,479,168,35.1,12.61,4.42,0.10,0.30,18,10,12,49.6,40.6,0.09,+10.4,+9.4
Sassuolo,29,50,507,150,29.6,13.34,3.95,0.09,0.30,20,5,5,46.4,42.6,0.09,+3.6,+2.4
SPAL,28,44,457,128,28.0,12.03,3.37,0.08,0.29,14,7,8,41.4,35.4,0.08,+2.6,+1.6
Torino,25,50,519,173,33.3,13.66,4.55,0.09,0.26,23,5,6,49.4,44.9,0.09,+0.6,+0.1
Udinese,32,38,461,118,25.6,12.13,3.11,0.08,0.30,12,3,8,41.5,35.2,0.08,-3.5,-0.2
