Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,2010,1925,85,64,3,215,102,26,1,0,0,0,1427,230,353,1543,324,75,20,5,1808,1,0,8,20,/en/players/b96b595c/matchlogs/2019-2020/passing_types/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,46,44,2,0,0,6,0,1,0,0,0,0,38,5,3,39,4,1,1,0,41,0,0,1,0,/en/players/3ed84b2c/matchlogs/2019-2020/passing_types/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,80,65,15,1,0,18,1,2,0,0,0,0,40,23,17,10,49,5,14,0,61,0,0,2,1,/en/players/ce5b170a/matchlogs/2019-2020/passing_types/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,39,39,0,0,0,5,0,2,0,0,0,0,34,3,2,10,29,0,0,0,36,0,0,0,1,/en/players/8bc8829a/matchlogs/2019-2020/passing_types/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,36,36,0,0,0,11,0,0,0,0,0,0,27,6,3,30,4,2,0,0,29,0,0,1,0,/en/players/46fa7204/matchlogs/2019-2020/passing_types/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,301,295,6,1,1,77,4,11,4,3,1,0,214,51,36,241,38,14,1,4,245,0,1,5,13,/en/players/46fa7204/matchlogs/2019-2020/passing_types/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,104,103,1,0,0,9,1,1,0,0,0,0,81,11,12,6,91,3,1,1,91,0,0,2,0,/en/players/fe0b8f0e/matchlogs/2019-2020/passing_types/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,1160,922,238,13,2,146,33,62,4,0,0,0,641,234,285,251,628,48,221,3,863,6,0,28,36,/en/players/246d153b/matchlogs/2019-2020/passing_types/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,2263,1983,280,68,16,426,106,179,149,53,59,15,1570,302,391,82,2113,26,23,14,1792,23,59,40,58,/en/players/5294a83f/matchlogs/2019-2020/passing_types/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,75,38,37,13,0,5,1,0,0,0,0,0,41,2,32,4,60,0,0,8,53,0,0,1,1,/en/players/95adf1e1/matchlogs/2019-2020/passing_types/Enrico-Alfonso-Match-Logs
11,Allan,br,MF,Napoli,28,1991,14.2,829,796,33,17,3,145,20,13,0,0,0,0,618,104,107,75,715,14,16,3,718,1,0,15,25,/en/players/cc700722/matchlogs/2019-2020/passing_types/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,37,1981,29.7,1312,1221,91,82,0,111,113,13,0,0,0,0,747,217,348,204,972,80,2,8,1096,4,0,11,12,/en/players/585a73a8/matchlogs/2019-2020/passing_types/Bruno-Alves-Match-Logs
