Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11550,6231,1641,1600,97.5,8,7,/en/players/b96b595c/matchlogs/2019-2020/possession/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,70,0,9,35,30,13,68,4,4,100.0,4,0,54,410,241,82,50,61.0,5,4,/en/players/3ed84b2c/matchlogs/2019-2020/possession/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,440,214,76,63,82.9,5,1,/en/players/ce5b170a/matchlogs/2019-2020/possession/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,145,49,31,29,93.5,0,2,/en/players/8bc8829a/matchlogs/2019-2020/possession/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,47,0,9,22,20,2,47,2,2,100.0,2,0,33,268,166,40,32,80.0,0,2,/en/players/46fa7204/matchlogs/2019-2020/possession/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2597,1639,348,285,81.9,12,13,/en/players/46fa7204/matchlogs/2019-2020/possession/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,129,9,32,85,26,1,128,0,1,0.0,0,0,95,634,267,116,90,77.6,4,3,/en/players/fe0b8f0e/matchlogs/2019-2020/possession/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,1476,76,431,728,432,34,1243,56,94,59.6,59,1,922,6765,4211,937,855,91.2,20,27,/en/players/246d153b/matchlogs/2019-2020/possession/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,2663,21,335,1465,1195,110,2387,72,105,68.6,76,4,2076,16087,10764,2150,1943,90.4,49,62,/en/players/5294a83f/matchlogs/2019-2020/possession/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,85,69,85,0,0,0,48,0,0,,0,0,29,133,77,24,23,95.8,0,0,/en/players/95adf1e1/matchlogs/2019-2020/possession/Enrico-Alfonso-Match-Logs
