Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Atalanta,3,38,38,"3,420",48,1.26,133,92,.684,23,9,6,10,26.3,6,6,0,0
Bologna,2,38,38,"3,420",65,1.71,182,123,.676,12,11,15,2,5.3,8,6,1,1
Brescia,3,38,38,"3,420",79,2.08,228,158,.693,6,7,25,6,15.8,11,9,1,1
Cagliari,3,38,38,"3,418",56,1.47,184,135,.734,11,12,15,7,18.4,9,7,1,1
Fiorentina,3,38,38,"3,420",48,1.26,150,110,.740,12,13,13,11,28.9,11,9,2,0
Genoa,2,38,38,"3,420",73,1.92,188,124,.649,10,9,19,7,18.4,9,7,0,2
Hellas Verona,2,38,38,"3,420",51,1.34,161,115,.739,12,13,13,10,26.3,9,9,0,0
Inter,2,38,38,"3,420",36,0.95,114,82,.711,24,10,4,14,36.8,4,3,1,0
Juventus,3,38,38,"3,420",43,1.13,152,118,.776,26,5,7,12,31.6,12,9,1,2
Lazio,1,38,38,"3,420",42,1.11,145,111,.759,24,6,8,11,28.9,9,7,1,1
Lecce,2,38,38,"3,420",85,2.24,244,172,.697,9,8,21,3,7.9,13,11,2,0
Milan,3,38,38,"3,420",46,1.21,145,105,.717,19,9,10,12,31.6,10,5,5,0
Napoli,2,38,38,"3,420",50,1.32,130,83,.669,18,8,12,7,18.4,8,7,1,0
Parma,2,38,38,"3,420",57,1.50,201,148,.751,14,7,17,6,15.8,11,7,3,1
Roma,3,38,38,"3,420",51,1.34,146,101,.712,21,7,10,7,18.4,10,9,1,0
Sampdoria,2,38,38,"3,420",65,1.71,174,119,.672,12,6,20,9,23.7,9,8,0,1
Sassuolo,3,38,38,"3,420",63,1.66,177,124,.689,14,9,15,7,18.4,9,8,1,0
SPAL,3,38,38,"3,420",74,1.95,222,155,.698,5,5,28,3,7.9,8,7,1,0
Torino,3,38,38,"3,420",68,1.79,199,142,.709,11,7,20,7,18.4,11,10,1,0
Udinese,1,38,38,"3,420",51,1.34,186,139,.769,12,9,17,14,36.8,10,8,2,0
