Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,30,80,2,1,533,517,50,763,413,445,9,6,2,3560,631,514,55.1
Bologna,31,109,7,3,595,567,85,739,409,399,6,7,1,3337,627,636,49.6
Brescia,32,95,6,3,503,583,69,637,363,353,3,9,3,2973,537,604,47.1
Cagliari,33,108,6,3,532,449,56,768,347,406,3,7,3,3022,498,658,43.1
Fiorentina,33,105,5,3,546,499,50,726,342,401,8,10,0,3173,465,482,49.1
Genoa,34,107,10,5,571,514,57,723,376,391,12,8,2,3165,608,629,49.2
Hellas Verona,30,87,7,2,553,489,91,737,397,344,7,7,1,3520,722,784,47.9
Inter,29,104,6,3,563,450,96,795,366,373,10,4,1,3164,496,452,52.3
Juventus,30,87,3,2,508,486,73,701,363,382,10,12,0,2988,442,339,56.6
Lazio,27,99,2,1,461,399,71,740,382,403,12,8,1,3126,477,525,47.6
Lecce,30,98,5,2,468,490,67,710,381,387,10,13,3,2887,488,526,48.1
Milan,32,97,6,2,545,459,63,707,435,412,4,9,1,3185,567,512,52.5
Napoli,25,73,2,0,421,523,54,826,339,377,2,8,1,3025,400,375,51.6
Parma,25,81,1,0,520,467,60,596,396,405,4,11,0,2924,541,473,53.4
Roma,31,111,7,4,541,437,45,789,424,341,7,9,0,3090,545,408,57.2
Sampdoria,31,111,7,5,563,458,62,811,385,411,10,8,4,3303,583,630,48.1
Sassuolo,31,99,3,1,497,558,64,557,355,395,4,9,4,2939,328,422,43.7
SPAL,34,98,4,1,541,523,53,701,403,357,7,8,3,2967,535,531,50.2
Torino,27,96,7,5,606,539,63,756,498,401,3,8,3,3180,704,649,52.0
Udinese,25,77,3,2,506,414,64,732,369,395,0,9,0,3019,477,530,47.4
