Squad,# Pl,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,30,38,"3,420",90,100,418,82,134,23,268,2.05,98,48,+50,+1.32,82.1,41.3,+40.8,+1.07
Bologna,31,38,"3,420",90,100,418,83,136,20,274,1.24,52,65,-13,-0.34,53.2,54.2,-0.9,-0.02
Brescia,32,38,"3,420",90,100,418,83,121,23,235,0.66,35,79,-44,-1.16,42.6,77.6,-35.0,-0.92
Cagliari,33,38,"3,420",90,100,418,83,129,21,298,1.18,52,56,-4,-0.11,41.2,57.3,-16.1,-0.42
Fiorentina,33,38,"3,420",90,100,418,83,129,21,323,1.29,51,48,+3,+0.08,54.5,48.9,+5.6,+0.15
Genoa,34,38,"3,420",90,100,418,82,135,23,305,1.03,47,73,-26,-0.68,47.5,59.5,-12.0,-0.32
Hellas Verona,30,38,"3,420",90,100,418,83,128,22,320,1.29,47,51,-4,-0.11,48.9,52.4,-3.4,-0.09
Inter,29,38,"3,420",90,100,418,84,134,18,298,2.16,81,36,+45,+1.18,72.1,40.6,+31.5,+0.83
Juventus,30,38,"3,420",90,100,418,82,127,25,272,2.18,76,43,+33,+0.87,68.9,41.9,+27.0,+0.71
Lazio,27,38,"3,420",90,100,418,83,137,22,307,2.05,79,42,+37,+0.97,68.0,49.5,+18.6,+0.49
Lecce,30,38,"3,420",90,100,418,82,120,26,325,0.92,52,85,-33,-0.87,53.8,84.1,-30.3,-0.80
Milan,32,38,"3,420",90,100,418,82,128,25,302,1.74,63,46,+17,+0.45,60.1,47.7,+12.5,+0.33
Napoli,25,38,"3,420",90,100,418,83,135,21,277,1.63,61,50,+11,+0.29,62.5,39.4,+23.1,+0.61
Parma,25,38,"3,420",90,100,418,83,136,22,244,1.29,56,57,-1,-0.03,46.6,62.1,-15.5,-0.41
Roma,31,38,"3,420",90,100,418,83,131,21,272,1.84,77,51,+26,+0.68,72.6,48.1,+24.5,+0.65
Sampdoria,31,38,"3,420",90,100,418,82,127,24,321,1.11,48,65,-17,-0.45,51.2,53.4,-2.1,-0.06
Sassuolo,31,38,"3,420",90,100,418,83,138,21,306,1.34,69,63,+6,+0.16,55.9,64.3,-8.3,-0.22
SPAL,34,38,"3,420",90,100,418,83,129,22,307,0.53,27,77,-50,-1.32,39.0,67.3,-28.2,-0.74
Torino,27,38,"3,420",90,100,418,84,118,21,277,1.05,46,68,-22,-0.58,42.3,62.6,-20.2,-0.53
Udinese,25,38,"3,420",90,100,418,84,124,19,299,1.18,37,51,-14,-0.37,40.5,51.9,-11.4,-0.30
