Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,30,702,445,313,294,95,702,772,37.3,484,5982,1870,31.3,313,294,95,607,125,3,482,413,1115,849,9
Bologna,31,619,399,283,256,80,619,692,33.4,461,6607,1851,28.0,283,256,80,653,143,6,510,409,1028,952,15
Brescia,32,586,353,310,221,55,586,666,33.6,442,6507,1523,23.4,310,221,55,701,196,3,505,363,949,963,12
Cagliari,33,637,406,332,235,70,637,669,32.6,451,5304,1484,28.0,332,235,70,654,199,3,455,347,984,921,10
Fiorentina,33,635,401,349,211,75,635,650,28.3,466,5968,1629,27.3,349,211,75,561,119,0,442,342,977,915,7
Genoa,34,617,391,316,224,77,617,607,30.3,423,6099,1652,27.1,316,224,77,622,163,1,459,376,993,862,12
Hellas Verona,30,549,344,271,209,69,549,546,34.1,360,5563,1633,29.4,271,209,69,596,190,3,406,397,946,1036,9
Inter,29,576,373,239,246,91,576,633,31.6,433,5527,1514,27.4,239,246,91,600,141,2,459,366,942,742,6
Juventus,30,625,382,275,231,119,625,598,34.6,391,5223,1480,28.3,275,231,119,604,143,4,461,363,988,715,15
Lazio,27,641,403,318,245,78,641,687,31.4,471,5587,1597,28.6,318,245,78,583,160,2,423,382,1023,766,8
Lecce,30,577,387,309,203,65,577,683,31.0,471,5395,1350,25.0,309,203,65,624,170,5,454,381,958,893,12
Milan,32,649,412,306,261,82,649,652,31.6,446,6229,1753,28.1,306,261,82,570,121,3,449,435,1084,693,12
Napoli,25,577,377,260,226,91,577,599,36.2,382,5590,1573,28.1,260,226,91,535,104,5,431,339,916,566,9
Parma,25,644,405,350,230,64,644,741,32.9,497,6214,1646,26.5,350,230,64,683,200,1,483,396,1040,971,10
Roma,31,551,341,239,215,97,551,539,32.5,364,5082,1461,28.7,239,215,97,531,117,2,414,424,975,771,19
Sampdoria,31,653,411,301,256,96,653,667,32.7,449,5978,1562,26.1,301,256,96,621,129,2,492,385,1038,902,11
Sassuolo,31,638,395,311,231,96,638,589,37.4,369,5470,1630,29.8,311,231,96,619,151,2,468,355,993,677,12
SPAL,34,604,357,319,212,73,604,593,33.2,396,5593,1445,25.8,319,212,73,579,182,4,397,403,1007,898,13
Torino,27,661,401,335,248,78,661,611,35.2,396,5733,1537,26.8,335,248,78,714,186,0,528,498,1159,1059,13
Udinese,25,643,395,353,219,71,643,653,36.0,418,6207,1648,26.6,353,219,71,640,178,0,462,369,1012,850,9
