Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Atalanta,30,1122,29.53,856,84,70,60,51,154,4.05,856,84,70,60,51,1
Bologna,31,883,23.24,654,63,71,38,53,82,2.16,654,63,71,38,53,4
Brescia,32,626,16.47,425,76,29,43,52,55,1.45,425,76,29,43,52,1
Cagliari,33,680,17.89,513,60,45,27,33,78,2.05,513,60,45,27,33,2
Fiorentina,33,893,23.50,635,82,64,45,65,82,2.16,635,82,64,45,65,2
Genoa,34,659,17.34,476,53,41,42,47,70,1.84,476,53,41,42,47,0
Hellas Verona,30,693,18.24,506,71,39,42,33,74,1.95,506,71,39,42,33,2
Inter,29,976,25.68,728,74,64,60,50,138,3.63,728,74,64,60,50,0
Juventus,30,1102,29.00,828,81,70,58,63,118,3.11,828,81,70,58,63,2
Lazio,27,922,24.26,702,65,60,48,46,122,3.21,702,65,60,48,46,1
Lecce,30,828,21.79,648,65,35,33,47,87,2.29,648,65,35,33,47,0
Milan,32,991,26.08,756,67,74,46,47,99,2.61,756,67,74,46,47,1
Napoli,25,1095,28.82,865,73,69,52,35,101,2.66,865,73,69,52,35,1
Parma,25,698,18.37,514,67,51,27,38,89,2.34,514,67,51,27,38,1
Roma,31,1026,27.00,745,90,77,53,57,126,3.32,745,90,77,53,57,4
Sampdoria,31,834,21.95,610,75,40,48,61,73,1.92,610,75,40,48,61,0
Sassuolo,31,876,23.05,665,49,73,40,49,110,2.89,665,49,73,40,49,0
SPAL,34,703,18.50,494,82,50,29,48,39,1.03,494,82,50,29,48,0
Torino,27,675,17.76,462,79,50,36,47,71,1.87,462,79,50,36,47,1
Udinese,25,738,19.42,584,62,46,25,21,58,1.53,584,62,46,25,21,0
