Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,30,18080,21650,83.5,337987,106336,18080,21650,83.5,18080,21650,83.5,18080,21650,83.5,68,53.5,+14.5,527,1296,479,111,1975
Bologna,31,14636,18271,80.1,283359,97440,14636,18271,80.1,14636,18271,80.1,14636,18271,80.1,31,36.4,-5.4,411,1181,303,73,1721
Brescia,32,11013,14651,75.2,220212,83497,11013,14651,75.2,11013,14651,75.2,11013,14651,75.2,22,25.5,-3.5,283,796,280,74,1546
Cagliari,33,13302,16870,78.9,270820,91759,13302,16870,78.9,13302,16870,78.9,13302,16870,78.9,34,28.6,+5.4,332,959,257,87,1417
Fiorentina,33,13789,17128,80.5,272581,92060,13789,17128,80.5,13789,17128,80.5,13789,17128,80.5,30,35.5,-5.5,420,1008,315,91,1580
Genoa,34,14406,18083,79.7,283056,96512,14406,18083,79.7,14406,18083,79.7,14406,18083,79.7,28,25.5,+2.5,291,961,297,100,1488
Hellas Verona,30,13380,17452,76.7,260915,89900,13380,17452,76.7,13380,17452,76.7,13380,17452,76.7,27,31.5,-4.5,326,1028,332,75,1672
Inter,29,17323,20755,83.5,346225,107740,17323,20755,83.5,17323,20755,83.5,17323,20755,83.5,57,45.5,+11.5,453,1282,422,102,1926
Juventus,30,20301,23369,86.9,372952,113605,20301,23369,86.9,20301,23369,86.9,20301,23369,86.9,47,44.1,+2.9,495,1556,368,79,1804
Lazio,27,16036,19310,83.0,315978,102779,16036,19310,83.0,16036,19310,83.0,16036,19310,83.0,45,42.3,+2.7,426,1262,409,99,1711
Lecce,30,13757,17086,80.5,277632,94283,13757,17086,80.5,13757,17086,80.5,13757,17086,80.5,30,30.9,-0.9,380,887,348,131,1453
Milan,32,17281,20770,83.2,331896,107646,17281,20770,83.2,17281,20770,83.2,17281,20770,83.2,38,42.3,-4.3,469,1282,413,100,1805
Napoli,25,21245,24509,86.7,389931,115007,21245,24509,86.7,21245,24509,86.7,21245,24509,86.7,45,47.7,-2.7,537,1647,441,96,1974
Parma,25,12330,15701,78.5,265390,94529,12330,15701,78.5,12330,15701,78.5,12330,15701,78.5,38,31.1,+6.9,327,888,238,52,1459
Roma,31,16108,19367,83.2,328727,101263,16108,19367,83.2,16108,19367,83.2,16108,19367,83.2,47,47.3,-0.3,471,1164,357,84,1635
Sampdoria,31,12021,15815,76.0,238324,86889,12021,15815,76.0,12021,15815,76.0,12021,15815,76.0,25,30.3,-5.3,388,933,301,110,1524
Sassuolo,31,18700,21786,85.8,332692,101055,18700,21786,85.8,18700,21786,85.8,18700,21786,85.8,49,39.4,+9.6,405,1210,319,45,1526
SPAL,34,13451,16899,79.6,259646,93584,13451,16899,79.6,13451,16899,79.6,13451,16899,79.6,17,23.1,-6.1,335,933,235,71,1408
Torino,27,12627,16199,77.9,260719,88037,12627,16199,77.9,12627,16199,77.9,12627,16199,77.9,29,26.5,+2.5,317,811,298,124,1326
Udinese,25,13373,16802,79.6,263187,91804,13373,16802,79.6,13373,16802,79.6,13373,16802,79.6,26,30.3,-4.3,358,914,284,105,1445
