Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,30,21650,19792,1858,574,50,3288,562,763,248,69,116,31,15276,2961,3413,6428,13169,666,713,282,18080,39,116,268,484
Bologna,31,18271,16291,1980,618,37,2908,503,739,228,131,26,23,12215,2500,3556,4700,11415,692,737,302,14636,77,26,274,494
Brescia,32,14651,12580,2071,648,17,2419,521,637,160,23,76,23,8448,2573,3630,3574,9087,556,781,321,11013,60,76,264,461
Cagliari,33,16870,14943,1927,566,28,2388,576,768,154,49,61,23,10189,2570,4111,4372,10529,622,750,260,13302,49,61,224,431
Fiorentina,33,17128,15269,1859,575,32,2630,590,726,211,67,94,20,11292,2488,3348,4351,10937,529,705,331,13789,37,94,237,443
Genoa,34,18083,16122,1961,559,21,3161,530,723,166,41,70,12,11737,2517,3829,4305,11623,647,783,265,14406,49,70,223,479
Hellas Verona,30,17452,15522,1930,560,38,2949,437,737,207,87,87,24,10509,2915,4028,4829,10403,796,730,190,13380,85,87,258,500
Inter,29,20755,18988,1767,471,40,3014,668,795,234,79,55,25,13998,3276,3481,4972,13864,567,700,355,17323,85,55,279,525
Juventus,30,23369,21580,1789,511,55,3138,701,701,235,66,92,25,17150,3283,2936,7966,13606,491,711,349,20301,67,92,261,486
Lazio,27,19310,17661,1649,449,60,2840,642,740,218,72,88,19,13304,2740,3266,5111,12441,588,608,262,16036,61,88,288,446
Lecce,30,17086,15243,1843,568,20,2578,598,710,183,7,31,6,10724,2703,3659,5776,9594,486,594,330,13757,59,31,242,455
Milan,32,20770,18904,1866,552,40,3059,527,707,208,83,76,5,14084,3144,3542,8211,10510,590,743,301,17281,52,76,302,439
Napoli,25,24509,22647,1862,606,54,3588,690,826,222,72,97,13,17944,3375,3190,7992,14804,504,709,270,21245,43,97,284,514
Parma,25,15701,13798,1903,527,31,2320,623,596,165,68,49,20,9391,2501,3809,4938,8828,570,734,209,12330,54,49,273,400
Roma,31,19367,17576,1791,527,61,3043,634,789,265,60,137,26,13431,2607,3329,4963,12579,525,662,295,16108,36,137,246,449
Sampdoria,31,15815,13918,1897,558,18,2585,527,811,195,82,70,10,9200,2640,3975,5767,7988,682,734,238,12021,47,70,244,433
Sassuolo,31,21786,19921,1865,620,63,3362,458,557,207,100,67,20,16344,2727,2715,7144,13038,420,675,274,18700,57,67,313,429
SPAL,34,16899,14973,1926,603,19,2712,420,701,158,61,61,11,10448,2663,3788,4543,10284,698,697,300,13451,42,61,166,447
Torino,27,16199,14237,1962,614,22,2491,647,756,179,48,36,10,9827,2347,4025,3237,10953,604,707,192,12627,56,36,238,438
Udinese,25,16802,15038,1764,473,22,2444,533,732,198,76,48,5,10891,2488,3423,5037,9961,536,647,277,13373,57,48,223,429
