Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Diego Abbrandini,it,GK,Brescia,17,2001,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/71201659/matchlogs/2019-2020/summary/Diego-Abbrandini-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,31,1988,36,"3,162",88,92.5,35.1,36,88,0,,1,2.00,74,38,+36,+1.02,+0.68,62.3,45.1,+17.2,+0.49,+0.68,/en/players/b96b595c/matchlogs/2019-2020/summary/Francesco-Acerbi-Match-Logs
3,Bobby Adekanye,nl,FW,Lazio,20,1999,11,188,17,5.5,2.1,0,,11,17,21,1.45,3,5,-2,-0.96,-2.04,6.1,4.2,+1.9,+0.93,-2.04,/en/players/3ed84b2c/matchlogs/2019-2020/summary/Bobby-Adekanye-Match-Logs
4,Claud Adjapong,it,DF,Hellas Verona,21,1998,5,231,46,6.8,2.6,2,90,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.6,4.2,-0.5,-0.21,-0.72,/en/players/ce5b170a/matchlogs/2019-2020/summary/Claud-Adjapong-Match-Logs
5,Andrea Adorante,it,FW,Parma,19,2000,0,,,,,0,,0,,9,,,,,,,,,,,,/en/players/7005ac66/matchlogs/2019-2020/summary/Andrea-Adorante-Match-Logs
6,Lucien Agoume,fr,MF,Inter,17,2002,3,68,23,2.0,0.8,0,,3,23,21,1.67,3,3,0,0.00,-1.21,3.7,2.0,+1.7,+2.21,-1.21,/en/players/8bc8829a/matchlogs/2019-2020/summary/Lucien-Agoume-Match-Logs
7,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,3,64,21,1.9,0.7,1,54,2,5,13,2.00,1,3,-2,-2.81,-2.95,1.1,1.0,+0.1,+0.16,-2.95,/en/players/46fa7204/matchlogs/2019-2020/summary/Kevin-Agudelo-Match-Logs
8,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,10,666,67,19.5,7.4,7,86,3,22,5,0.60,8,11,-3,-0.41,+0.35,8.5,11.1,-2.6,-0.36,+0.35,/en/players/46fa7204/matchlogs/2019-2020/summary/Kevin-Agudelo-Match-Logs
9,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,10,230,23,6.7,2.6,2,78,8,9,9,1.90,3,6,-3,-1.17,-1.15,2.0,4.2,-2.2,-0.86,-1.15,/en/players/fe0b8f0e/matchlogs/2019-2020/summary/Emmanuel-Agyemang-Badu-Match-Logs
10,Ola Aina,ng,DF,Torino,22,1996,32,"2,079",65,60.8,23.1,20,84,12,33,5,1.13,35,40,-5,-0.22,+0.92,28.3,36.1,-7.8,-0.34,+0.92,/en/players/246d153b/matchlogs/2019-2020/summary/Ola-Aina-Match-Logs
11,Fabrizio Alastra,it,GK,Parma,21,1997,0,,,,,0,,0,,20,,,,,,,,,,,,/en/players/cfed4243/matchlogs/2019-2020/summary/Fabrizio-Alastra-Match-Logs
12,Luis Alberto,es,MF,Lazio,26,1992,36,"3,113",86,91.0,34.6,36,86,0,,0,2.08,75,37,+38,+1.10,+1.39,62.6,43.2,+19.3,+0.56,+1.39,/en/players/5294a83f/matchlogs/2019-2020/summary/Luis-Alberto-Match-Logs
13,Enrico Alfonso,it,GK,Brescia,31,1988,4,279,70,8.2,3.1,4,70,0,,23,0.75,4,4,0,0.00,+1.26,7.4,2.6,+4.8,+1.56,+1.26,/en/players/95adf1e1/matchlogs/2019-2020/summary/Enrico-Alfonso-Match-Logs
14,Marco Alia,al,GK,Lazio,19,2000,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/261dfc43/matchlogs/2019-2020/summary/Marco-Alia-Match-Logs
15,Allan,br,MF,Napoli,28,1991,23,"1,280",56,37.4,14.2,16,75,7,11,5,1.52,20,20,0,0.00,-0.46,21.0,16.3,+4.7,+0.33,-0.46,/en/players/cc700722/matchlogs/2019-2020/summary/Allan-Match-Logs
16,Samuel Almeida Costa,it,FW,Lecce,18,2000,0,,,,,0,,0,,4,,,,,,,,,,,,/en/players/7efb2c41/matchlogs/2019-2020/summary/Samuel-Almeida-Costa-Match-Logs
17,Bruno Alves,pt,DF,Parma,37,1981,33,"2,671",81,78.1,29.7,31,85,2,14,0,1.33,39,44,-5,-0.17,-0.65,32.9,50.8,-17.8,-0.60,-0.65,/en/players/585a73a8/matchlogs/2019-2020/summary/Bruno-Alves-Match-Logs
