player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Francesco Acerbi,it,DF,Lazio,31,1988,36,,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,0.06,0.05,0.10,0.06,0.10
Bobby Adekanye,nl,FW,Lazio,20,1999,11,,1,0,0,0,1,0,0.48,0.00,0.48,0.48,0.48,1.7,1.7,0.1,0.82,0.05,0.87,0.82,0.87
Claud Adjapong,it,DF,Hellas Verona,21,1998,5,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.22,0.00,0.22,0.22,0.22
Lucien Agoume,fr,MF,Inter,17,2002,3,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.08,0.08,0.00,0.08
Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.45,0.21,0.65,0.45,0.65
Kevin Agudelo,co,"MF,FW",Genoa,20,1998,10,,1,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,1.1,1.1,1.2,0.15,0.16,0.31,0.15,0.31
Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,10,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Ola Aina,ng,DF,Torino,22,1996,32,,0,2,0,0,8,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.2,0.02,0.10,0.11,0.02,0.11
Luis Alberto,es,MF,Lazio,26,1992,36,,6,15,1,1,5,0,0.17,0.43,0.61,0.14,0.58,7.1,6.4,10.8,0.21,0.31,0.52,0.18,0.50
Enrico Alfonso,it,GK,Brescia,31,1988,4,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Allan,br,MF,Napoli,28,1991,23,,2,1,0,0,3,0,0.14,0.07,0.21,0.14,0.21,0.7,0.7,1.1,0.05,0.08,0.13,0.05,0.13
Bruno Alves,pt,DF,Parma,37,1981,33,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,0.03,0.02,0.05,0.03,0.05
Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,34,,1,1,1,1,10,2,0.03,0.03,0.06,0.00,0.03,1.9,1.1,1.6,0.06,0.05,0.11,0.03,0.09
Djavan Anderson,nl,"DF,MF",Lazio,24,1995,6,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.05,0.00,0.05,0.05,0.05
Lorenzo Andrenacci,it,GK,Brescia,24,1995,6,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Peter Ankersen,dk,DF,Genoa,28,1990,19,,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.7,0.07,0.06,0.13,0.07,0.13
Cristian Ansaldi,ar,"DF,MF",Torino,32,1986,27,,4,4,0,0,9,0,0.20,0.20,0.41,0.20,0.41,1.4,1.4,3.0,0.07,0.15,0.22,0.07,0.22
Mirko Antonucci,it,"FW,MF",Roma,20,1999,2,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.21,0.00,0.21,0.21,0.21
Guilherme Arana,br,DF,Atalanta,22,1997,4,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
Nicolò Armini,it,DF,Lazio,18,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Kwadwo Asamoah,gh,DF,Inter,30,1988,8,,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,0.7,0.01,0.10,0.11,0.01,0.11
Kristoffer Askildsen,no,MF,Sampdoria,18,2001,4,,1,0,0,0,2,1,1.18,0.00,1.18,1.18,1.18,0.0,0.0,0.1,0.05,0.12,0.16,0.05,0.16
Emil Audero,it,GK,Sampdoria,22,1997,36,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
