team,players_used,possession,played,starts,minutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Atalanta,30,57.8,38,418,"3,420",96,68,7,10,80,2,2.53,1.79,4.32,2.34,4.13,82.1,74.5,53.5,2.16,1.41,3.57,1.96,3.37
Bologna,31,52.9,38,418,"3,420",48,31,5,6,109,7,1.26,0.82,2.08,1.13,1.95,53.2,48.7,36.4,1.40,0.96,2.36,1.28,2.24
Brescia,32,40.3,38,418,"3,420",34,22,4,4,95,6,0.89,0.58,1.47,0.79,1.37,42.6,39.6,25.5,1.12,0.67,1.79,1.04,1.71
Cagliari,33,45.5,38,418,"3,420",50,34,4,6,108,6,1.32,0.89,2.21,1.21,2.11,41.2,36.6,28.6,1.08,0.75,1.84,0.96,1.71
Fiorentina,33,47.3,38,418,"3,420",49,30,9,11,105,5,1.29,0.79,2.08,1.05,1.84,54.5,46.6,35.5,1.44,0.94,2.37,1.23,2.16
Genoa,34,49.5,38,418,"3,420",46,28,11,16,107,10,1.21,0.74,1.95,0.92,1.66,47.5,35.4,25.5,1.25,0.67,1.92,0.93,1.60
Hellas Verona,30,49.8,38,418,"3,420",45,27,8,9,87,7,1.18,0.71,1.89,0.97,1.68,48.9,42.2,31.5,1.29,0.83,2.12,1.11,1.94
Inter,29,54.2,38,418,"3,420",80,57,10,11,104,6,2.11,1.50,3.61,1.84,3.34,72.1,63.7,45.5,1.90,1.20,3.09,1.68,2.87
Juventus,30,58.3,38,418,"3,420",73,47,13,14,87,3,1.92,1.24,3.16,1.58,2.82,68.9,58.3,44.1,1.81,1.16,2.97,1.53,2.69
Lazio,27,50.5,38,418,"3,420",77,45,15,17,99,2,2.03,1.18,3.21,1.63,2.82,68.0,55.3,42.3,1.79,1.11,2.90,1.45,2.57
Lecce,30,44.6,38,418,"3,420",52,30,11,15,98,5,1.37,0.79,2.16,1.08,1.87,53.8,43.0,30.9,1.42,0.81,2.23,1.13,1.94
Milan,32,55.1,38,418,"3,420",60,38,8,9,97,6,1.58,1.00,2.58,1.37,2.37,60.1,53.5,42.3,1.58,1.11,2.70,1.41,2.52
Napoli,25,59.5,38,418,"3,420",60,45,5,5,73,2,1.58,1.18,2.76,1.45,2.63,62.5,58.8,47.7,1.65,1.26,2.90,1.55,2.80
Parma,25,43.6,38,418,"3,420",53,38,4,6,81,1,1.39,1.00,2.39,1.29,2.29,46.6,42.1,31.1,1.23,0.82,2.05,1.11,1.93
Roma,31,52.9,38,418,"3,420",73,47,12,14,111,7,1.92,1.24,3.16,1.61,2.84,72.6,62.3,47.3,1.91,1.24,3.16,1.64,2.88
Sampdoria,31,42.4,38,418,"3,420",48,25,9,12,111,7,1.26,0.66,1.92,1.03,1.68,51.2,42.1,30.3,1.35,0.80,2.15,1.11,1.91
Sassuolo,31,57.8,38,418,"3,420",69,49,5,6,99,3,1.82,1.29,3.11,1.68,2.97,55.9,51.4,39.4,1.47,1.04,2.51,1.35,2.39
SPAL,34,46.8,38,418,"3,420",27,17,5,7,98,4,0.71,0.45,1.16,0.58,1.03,39.0,33.7,23.1,1.03,0.61,1.63,0.89,1.49
Torino,27,47.5,38,418,"3,420",44,29,7,8,96,7,1.16,0.76,1.92,0.97,1.74,42.3,37.1,26.5,1.11,0.70,1.81,0.98,1.67
Udinese,25,44.7,38,418,"3,420",37,26,0,0,77,3,0.97,0.68,1.66,0.97,1.66,40.5,40.5,30.3,1.07,0.80,1.86,1.07,1.86
