home,homeXg,score,awayXg,away
Liverpool,1.8,4–1,1.0,Norwich City
West Ham,0.8,0–5,3.0,Manchester City
Watford,1.0,0–3,0.6,Brighton
Burnley,0.6,3–0,0.9,Southampton
Bournemouth,1.1,1–1,1.0,Sheffield Utd
Crystal Palace,0.7,0–0,0.8,Everton
Tottenham,2.4,3–1,0.7,Aston Villa
Newcastle Utd,0.5,0–1,0.9,Arsenal
Leicester City,0.6,0–0,0.7,Wolves
Manchester Utd,2.3,4–0,0.9,Chelsea
Arsenal,0.9,2–1,1.4,Burnley
Southampton,1.6,1–2,1.5,Liverpool
Norwich City,1.5,3–1,0.7,Newcastle Utd
Brighton,1.8,1–1,0.8,West Ham
Everton,0.9,1–0,1.1,Watford
Aston Villa,1.8,1–2,1.3,Bournemouth
Manchester City,2.9,2–2,0.2,Tottenham
Sheffield Utd,1.6,1–0,0.3,Crystal Palace
Chelsea,1.4,1–1,0.7,Leicester City
Wolves,0.3,1–1,1.3,Manchester Utd
Aston Villa,0.8,2–0,1.0,Everton
Norwich City,1.1,2–3,2.0,Chelsea
Brighton,0.8,0–2,1.5,Southampton
Manchester Utd,2.3,1–2,0.7,Crystal Palace
Watford,2.5,1–3,3.4,West Ham
Sheffield Utd,0.7,1–2,0.7,Leicester City
Liverpool,2.4,3–1,1.0,Arsenal
Bournemouth,1.4,1–3,2.2,Manchester City
Tottenham,1.1,0–1,0.5,Newcastle Utd
Wolves,1.5,1–1,1.2,Burnley
Southampton,0.8,1–1,1.6,Manchester Utd
West Ham,1.8,2–0,1.3,Norwich City
Chelsea,1.7,2–2,1.0,Sheffield Utd
Leicester City,2.1,3–1,0.8,Bournemouth
Crystal Palace,1.3,1–0,0.3,Aston Villa
Newcastle Utd,0.9,1–1,1.4,Watford
Manchester City,1.9,4–0,0.5,Brighton
Burnley,0.5,0–3,1.0,Liverpool
Everton,1.3,3–2,1.4,Wolves
Arsenal,2.3,2–2,2.1,Tottenham
Liverpool,2.8,3–1,0.4,Newcastle Utd
Manchester Utd,1.0,1–0,0.4,Leicester City
Sheffield Utd,1.8,0–1,1.2,Southampton
Tottenham,0.9,4–0,0.7,Crystal Palace
Wolves,1.5,2–5,1.8,Chelsea
Brighton,0.9,1–1,0.6,Burnley
Norwich City,1.6,3–2,2.2,Manchester City
Bournemouth,1.5,3–1,1.3,Everton
Watford,2.8,2–2,0.9,Arsenal
Aston Villa,1.0,0–0,0.5,West Ham
Southampton,2.2,1–3,1.3,Bournemouth
Leicester City,1.5,2–1,1.2,Tottenham
Burnley,1.5,2–0,0.7,Norwich City
Everton,1.0,0–2,0.2,Sheffield Utd
Manchester City,5.8,8–0,0.3,Watford
Newcastle Utd,1.0,0–0,1.1,Brighton
West Ham,0.5,2–0,1.0,Manchester Utd
Crystal Palace,0.9,1–1,0.9,Wolves
Chelsea,1.3,1–2,0.8,Liverpool
Arsenal,2.3,3–2,1.0,Aston Villa
Sheffield Utd,1.3,0–1,1.9,Liverpool
Aston Villa,0.8,2–2,1.5,Burnley
Crystal Palace,1.4,2–0,0.5,Norwich City
Wolves,1.4,2–0,1.0,Watford
Tottenham,1.0,2–1,1.6,Southampton
Chelsea,3.4,2–0,0.5,Brighton
Bournemouth,1.8,2–2,1.4,West Ham
Everton,2.4,1–3,3.3,Manchester City
Leicester City,1.1,5–0,0.2,Newcastle Utd
Manchester Utd,1.1,1–1,1.8,Arsenal
Brighton,1.9,3–0,0.6,Tottenham
Norwich City,3.1,1–5,2.9,Aston Villa
Burnley,0.6,1–0,0.8,Everton
Liverpool,2.8,2–1,0.1,Leicester City
Watford,1.5,0–0,0.5,Sheffield Utd
West Ham,1.3,1–2,2.1,Crystal Palace
Arsenal,0.9,1–0,0.5,Bournemouth
Manchester City,1.4,0–2,1.7,Wolves
Southampton,1.0,1–4,1.9,Chelsea
Newcastle Utd,0.5,1–0,0.7,Manchester Utd
Everton,2.0,2–0,0.9,West Ham
Bournemouth,0.7,0–0,0.4,Norwich City
Chelsea,2.1,1–0,0.3,Newcastle Utd
Aston Villa,2.7,2–1,1.2,Brighton
Wolves,0.9,1–1,1.6,Southampton
Tottenham,1.1,1–1,0.8,Watford
Leicester City,1.4,2–1,1.6,Burnley
Crystal Palace,0.5,0–2,2.2,Manchester City
Manchester Utd,0.7,1–1,1.1,Liverpool
Sheffield Utd,0.9,1–0,0.9,Arsenal
Southampton,0.4,0–9,3.6,Leicester City
Manchester City,2.6,3–0,0.9,Aston Villa
West Ham,2.0,1–1,1.8,Sheffield Utd
Watford,0.7,0–0,1.2,Bournemouth
Brighton,1.3,3–2,0.7,Everton
Burnley,2.2,2–4,0.9,Chelsea
Newcastle Utd,0.6,1–1,0.9,Wolves
Arsenal,1.8,2–2,1.7,Crystal Palace
Norwich City,0.9,1–3,4.0,Manchester Utd
Liverpool,2.4,2–1,1.3,Tottenham
Bournemouth,1.7,1–0,0.7,Manchester Utd
Sheffield Utd,2.0,3–0,0.8,Burnley
Manchester City,3.1,2–1,0.6,Southampton
Brighton,2.1,2–0,0.4,Norwich City
Aston Villa,0.7,1–2,2.7,Liverpool
Arsenal,1.0,1–1,1.6,Wolves
West Ham,2.0,2–3,1.4,Newcastle Utd
Watford,1.4,1–2,2.5,Chelsea
Crystal Palace,0.4,0–2,1.4,Leicester City
Everton,0.8,1–1,0.4,Tottenham
Norwich City,0.8,0–2,0.8,Watford
Chelsea,2.4,2–0,0.3,Crystal Palace
Newcastle Utd,2.9,2–1,2.3,Bournemouth
Burnley,1.6,3–0,0.5,West Ham
Tottenham,1.2,1–1,1.0,Sheffield Utd
Southampton,0.9,1–2,1.9,Everton
Leicester City,1.6,2–0,0.8,Arsenal
Wolves,1.8,2–1,0.7,Aston Villa
Manchester Utd,2.3,3–1,0.8,Brighton
Liverpool,1.0,3–1,1.3,Manchester City
